Navn;Stasjon;Tid(norsk normaltid);Nedbør (1 t);Lufttemperatur;Relativ luftfuktighet
Jostedalen - Mjølversgrendi;SN55430;10.09.2023 01:00;0,2;14;92
Jostedalen - Mjølversgrendi;SN55430;10.09.2023 02:00;0;13,4;95
Jostedalen - Mjølversgrendi;SN55430;10.09.2023 03:00;0;13,4;92
Jostedalen - Mjølversgrendi;SN55430;10.09.2023 04:00;0;13,8;94
Jostedalen - Mjølversgrendi;SN55430;10.09.2023 05:00;0;13,5;94
Jostedalen - Mjølversgrendi;SN55430;10.09.2023 06:00;0;13,3;92
Jostedalen - Mjølversgrendi;SN55430;10.09.2023 07:00;0;14;93
Jostedalen - Mjølversgrendi;SN55430;10.09.2023 08:00;0;14,2;92
Jostedalen - Mjølversgrendi;SN55430;10.09.2023 09:00;0;14,7;91
Jostedalen - Mjølversgrendi;SN55430;10.09.2023 10:00;0;15,6;78
Jostedalen - Mjølversgrendi;SN55430;10.09.2023 11:00;0;15,5;82
Jostedalen - Mjølversgrendi;SN55430;10.09.2023 12:00;0;15,6;80
Jostedalen - Mjølversgrendi;SN55430;10.09.2023 13:00;0;16;79
Jostedalen - Mjølversgrendi;SN55430;10.09.2023 14:00;0;16,6;65
Jostedalen - Mjølversgrendi;SN55430;10.09.2023 15:00;0;16;66
Jostedalen - Mjølversgrendi;SN55430;10.09.2023 16:00;0;16,3;74
Jostedalen - Mjølversgrendi;SN55430;10.09.2023 17:00;0;15,7;79
Jostedalen - Mjølversgrendi;SN55430;10.09.2023 18:00;0;14,9;77
Jostedalen - Mjølversgrendi;SN55430;10.09.2023 19:00;0;14,6;75
Jostedalen - Mjølversgrendi;SN55430;10.09.2023 20:00;0;14;89
Jostedalen - Mjølversgrendi;SN55430;10.09.2023 21:00;0;13,7;88
Jostedalen - Mjølversgrendi;SN55430;10.09.2023 22:00;0,1;13;91
Jostedalen - Mjølversgrendi;SN55430;10.09.2023 23:00;0,4;12,4;96
Jostedalen - Mjølversgrendi;SN55430;11.09.2023 00:00;0;12,4;96
Jostedalen - Mjølversgrendi;SN55430;11.09.2023 01:00;0,1;11,8;97
Jostedalen - Mjølversgrendi;SN55430;11.09.2023 02:00;0;12,1;98
Jostedalen - Mjølversgrendi;SN55430;11.09.2023 03:00;0,1;11,7;98
Jostedalen - Mjølversgrendi;SN55430;11.09.2023 04:00;0,1;11,9;98
Jostedalen - Mjølversgrendi;SN55430;11.09.2023 05:00;0;11,7;98
Jostedalen - Mjølversgrendi;SN55430;11.09.2023 06:00;2,4;11,3;98
