time,p_u,t_u,rh_u,rh_u_cor,qh_u,wspd_u,wdir_u,wspd_x_u,wspd_y_u,dsr,dsr_cor,usr,usr_cor,albedo,dlr,ulr,cc,t_surf,dlhf_u,dshf_u,z_boom_u,z_stake,z_pt,z_pt_cor,precip_u,precip_u_cor,precip_u_rate,t_i_1,t_i_2,t_i_3,t_i_4,t_i_5,t_i_6,t_i_7,t_i_8,tilt_x,tilt_y,rot,gps_lat,gps_lon,gps_alt,gps_time,gps_geoid,gps_hdop,batt_v,fan_dc_u,t_log,t_rad,msg_lat,msg_lon
2023-09-10 00:00:00,,13.87,55.42,55.42,,4.254,59.7805,3.6759,2.1411,-0.108,0.0,-0.5536,0.0,,378.5309,334.9293,0.9287,0.0,,,2.37,1.5099,,,,,,,,,,,,,,-4.3664,-5.3703,,61.685918,7.198093,568.0,215824.0,,2.44,12.64,119.4,,12.9,61.69502,7.20002
2023-09-10 01:00:00,,12.14,66.7,66.7,,4.98,61.2899,4.3678,2.3923,-3.8469,0.0,0.3952,0.0,,374.2642,333.2635,0.985,0.0,,,,7.368,,,,,,,,,,,,,,-4.3954,-5.4488,,,,,,,,,,,11.71,,
2023-09-10 02:00:00,,11.42,89.7,89.7,,4.032,69.9502,3.7876,1.3823,-0.9346,0.0,-0.6328,0.0,,372.0855,331.1657,1.0,0.0,,,,7.349,,,,,,,,,,,,,,-4.4209,-5.5171,,,,,,,,,,,10.91,,
2023-09-10 03:00:00,,11.66,88.3,88.3,,3.518,61.5008,3.0917,1.6786,0.3953,0.0,-1.3053,0.0,,367.3295,331.0291,0.9358,0.0,,,,7.3618,,,,,,,,,,,,,,-4.4401,-5.571,,,,,,,,,,,10.87,,
2023-09-10 04:00:00,,11.92,93.6,93.6,,3.759,72.56,3.5862,1.1266,1.6178,0.0,-1.3053,0.0,,373.1112,331.5111,0.9851,0.0,,,,7.3651,,,,,,,,,,,,,,-4.4568,-5.621,,,,,,,,,,,11.17,,
2023-09-10 05:00:00,,11.27,88.0,88.0,,3.844,72.43,3.6647,1.1604,0.3593,0.0,-1.2657,0.0,,366.7673,330.5329,0.9525,0.0,,,,7.2705,,,,,,,4.213,4.062,3.128,22.61,3.59,3.128,3.798,-4.471,-5.6669,,,,,,,,,,,10.63,,
2023-09-10 06:00:00,,10.34,84.2,84.2,,3.774,75.4096,3.6523,0.9507,0.4313,0.4313,-1.2261,0.0688,,368.3497,329.7767,1.0,0.0,,,2.3564,1.52,,,,,,,,,,,,,,-4.4826,-5.7087,,61.685864,7.198143,551.4,35824.0,,1.39,12.62,122.8,,10.27,61.70286,7.04999
2023-09-10 07:00:00,,10.63,85.1,85.1,,4.238,77.1003,4.131,0.9461,2.841,2.227,0.3564,0.3564,,367.5088,331.0791,0.9977,0.0,,,,7.2623,,,,,,,,,,,,,,-4.4916,-5.7465,,,,,,,,,,,10.27,,
2023-09-10 08:00:00,,11.23,75.31,75.31,,4.354,79.9996,4.2879,0.7561,19.9542,16.5204,2.6501,2.6501,,367.9801,331.3511,0.9683,0.0,,,,7.27,,,,,,,,,,,,,,-4.4981,-5.7803,,,,,,,,,,,11.23,,
2023-09-10 09:00:00,951.0,11.98,73.19,73.19,6.7376,3.41,53.7101,2.7486,2.0183,50.5825,50.6797,8.1497,8.1497,0.1608,369.3816,332.1851,0.9398,0.0,,,,7.3562,,,,,,,,,,,,,,-4.5033,-5.8122,,,,,,,,,,,11.4,,
