Navn;Stasjon;Tid(norsk normaltid);Vindretning;Middelvind;Lufttemperatur
Spørteggbu;SN55425;10.09.2023 01:00;252;8,2;9,2
Spørteggbu;SN55425;10.09.2023 02:00;267;8,4;8,9
Spørteggbu;SN55425;10.09.2023 03:00;241;8;8,7
Spørteggbu;SN55425;10.09.2023 04:00;233;8,8;8,4
Spørteggbu;SN55425;10.09.2023 05:00;271;9,6;8,3
Spørteggbu;SN55425;10.09.2023 06:00;260;9,9;8,5
Spørteggbu;SN55425;10.09.2023 07:00;265;10,5;8,3
Spørteggbu;SN55425;10.09.2023 08:00;264;10;8,2
Spørteggbu;SN55425;10.09.2023 09:00;259;8,8;8,2
Spørteggbu;SN55425;10.09.2023 10:00;262;9,2;8,3
Spørteggbu;SN55425;10.09.2023 11:00;273;7,2;8,2
Spørteggbu;SN55425;10.09.2023 12:00;253;8,2;8,3
Spørteggbu;SN55425;10.09.2023 13:00;256;7,4;8,1
Spørteggbu;SN55425;10.09.2023 14:00;271;4,9;8,2
Spørteggbu;SN55425;10.09.2023 15:00;264;5,6;7,8
Spørteggbu;SN55425;10.09.2023 16:00;277;5,3;7,8
Spørteggbu;SN55425;10.09.2023 17:00;268;5,6;7,6
Spørteggbu;SN55425;10.09.2023 18:00;261;7,4;7,5
Spørteggbu;SN55425;10.09.2023 19:00;217;4,5;7,6
Spørteggbu;SN55425;10.09.2023 20:00;196;5,1;7,6
Spørteggbu;SN55425;10.09.2023 21:00;201;7,3;7,8
Spørteggbu;SN55425;10.09.2023 22:00;188;8,4;7,7
Spørteggbu;SN55425;10.09.2023 23:00;243;10,9;7,6
Spørteggbu;SN55425;11.09.2023 00:00;232;6,4;7,9
Spørteggbu;SN55425;11.09.2023 01:00;205;9,9;8,2
Spørteggbu;SN55425;11.09.2023 02:00;200;5,7;8
Spørteggbu;SN55425;11.09.2023 03:00;189;6,7;8
Spørteggbu;SN55425;11.09.2023 04:00;209;9,2;8,2
Spørteggbu;SN55425;11.09.2023 05:00;185;7,6;8
Spørteggbu;SN55425;11.09.2023 06:00;163;8,2;7,9
Spørteggbu;SN55425;11.09.2023 07:00;150;9,5;7,4
Spørteggbu;SN55425;11.09.2023 08:00;160;12,3;7,9
Spørteggbu;SN55425;11.09.2023 09:00;171;11,5;8,3
Spørteggbu;SN55425;11.09.2023 10:00;207;14,5;8,9
Spørteggbu;SN55425;11.09.2023 11:00;222;9,5;9,3
Spørteggbu;SN55425;11.09.2023 12:00;240;11,9;9,6
Spørteggbu;SN55425;11.09.2023 13:00;234;10,6;9,6
Spørteggbu;SN55425;11.09.2023 14:00;243;16,7;9,7
Spørteggbu;SN55425;11.09.2023 15:00;224;10,2;9,7
Spørteggbu;SN55425;11.09.2023 16:00;239;10,7;9,1
Spørteggbu;SN55425;11.09.2023 17:00;240;9,4;8,8
Spørteggbu;SN55425;11.09.2023 18:00;227;6,6;8,8
Spørteggbu;SN55425;11.09.2023 19:00;280;8,4;8,3
Spørteggbu;SN55425;11.09.2023 20:00;275;8,2;7,1
Spørteggbu;SN55425;11.09.2023 21:00;271;5,3;6
Spørteggbu;SN55425;11.09.2023 22:00;259;6,4;5,6
Spørteggbu;SN55425;11.09.2023 23:00;261;6,1;4,6
Spørteggbu;SN55425;12.09.2023 00:00;246;6,6;4,3
Spørteggbu;SN55425;12.09.2023 01:00;288;4,5;3,7
Spørteggbu;SN55425;12.09.2023 02:00;335;2,9;3,1
Spørteggbu;SN55425;12.09.2023 03:00;289;3,3;1,8
Spørteggbu;SN55425;12.09.2023 04:00;295;2,1;1,4
Spørteggbu;SN55425;12.09.2023 05:00;193;2,2;1,4
Spørteggbu;SN55425;12.09.2023 06:00;259;7,3;1,6
Spørteggbu;SN55425;12.09.2023 07:00;208;5,4;1,4
Spørteggbu;SN55425;12.09.2023 08:00;248;4,9;1,6
Spørteggbu;SN55425;12.09.2023 09:00;229;4,3;2,2
Spørteggbu;SN55425;12.09.2023 10:00;280;6,3;1,7
Spørteggbu;SN55425;12.09.2023 11:00;265;6,6;1,8
Spørteggbu;SN55425;12.09.2023 12:00;273;6,7;2,3
Spørteggbu;SN55425;12.09.2023 13:00;270;5,6;2,1
Spørteggbu;SN55425;12.09.2023 14:00;284;7,5;2,3
Spørteggbu;SN55425;12.09.2023 15:00;269;8,7;1,8
Spørteggbu;SN55425;12.09.2023 16:00;273;7;1,8
Spørteggbu;SN55425;12.09.2023 17:00;282;9,7;1,5
Spørteggbu;SN55425;12.09.2023 18:00;294;9,4;1,2
Spørteggbu;SN55425;12.09.2023 19:00;327;8,8;0,4
Spørteggbu;SN55425;12.09.2023 20:00;303;6,8;0,2
Spørteggbu;SN55425;12.09.2023 21:00;330;6,3;-0,2
Spørteggbu;SN55425;12.09.2023 22:00;328;3,5;-0,3
Spørteggbu;SN55425;12.09.2023 23:00;350;2,2;-0,7
Spørteggbu;SN55425;13.09.2023 00:00;303;1,9;-0,7
Spørteggbu;SN55425;13.09.2023 01:00;304;3,7;-0,8
Spørteggbu;SN55425;13.09.2023 02:00;333;3,8;-1,3
Spørteggbu;SN55425;13.09.2023 03:00;348;4,2;-1,5
Spørteggbu;SN55425;13.09.2023 04:00;314;3,3;-1,5
Spørteggbu;SN55425;13.09.2023 05:00;341;3,9;-1,9
Spørteggbu;SN55425;13.09.2023 06:00;331;2,3;-1,8
Spørteggbu;SN55425;13.09.2023 07:00;360;3,1;-1,8
Spørteggbu;SN55425;13.09.2023 08:00;360;3,8;-2,3
Spørteggbu;SN55425;13.09.2023 09:00;5;2,7;-1,8
Spørteggbu;SN55425;13.09.2023 10:00;4;2,9;-1,2
Spørteggbu;SN55425;13.09.2023 11:00;329;0,8;-0,9
Spørteggbu;SN55425;13.09.2023 12:00;7;1,1;0,2
Spørteggbu;SN55425;13.09.2023 13:00;1;1,1;-0,1
Spørteggbu;SN55425;13.09.2023 14:00;293;3,1;1,5
Spørteggbu;SN55425;13.09.2023 15:00;284;3;1,4
Spørteggbu;SN55425;13.09.2023 16:00;310;2,6;2,2
Spørteggbu;SN55425;13.09.2023 17:00;300;2;1,8
Spørteggbu;SN55425;13.09.2023 18:00;360;1;1,1
Spørteggbu;SN55425;13.09.2023 19:00;330;1;0,4
Spørteggbu;SN55425;13.09.2023 20:00;286;0,8;-0,1
Spørteggbu;SN55425;13.09.2023 21:00;125;1,2;0
Spørteggbu;SN55425;13.09.2023 22:00;143;2,6;-0,2
Spørteggbu;SN55425;13.09.2023 23:00;141;3,9;-0,1
Spørteggbu;SN55425;14.09.2023 00:00;146;6;0,2
Spørteggbu;SN55425;14.09.2023 01:00;141;7,9;-0,1
Spørteggbu;SN55425;14.09.2023 02:00;141;8,7;-0,1
Spørteggbu;SN55425;14.09.2023 03:00;149;7,5;0
Spørteggbu;SN55425;14.09.2023 04:00;159;7,3;-0,3
Spørteggbu;SN55425;14.09.2023 05:00;156;8,4;-0,3
Spørteggbu;SN55425;14.09.2023 06:00;152;8,9;-0,4
Spørteggbu;SN55425;14.09.2023 07:00;153;8,6;-0,3
Spørteggbu;SN55425;14.09.2023 08:00;159;9;-0,2
Spørteggbu;SN55425;14.09.2023 09:00;168;8,8;-0,1
