Time,COM Elapse,XQ-iMet-XQ Pressure,XQ-iMet-XQ Air Temperature,XQ-iMet-XQ Humidity,XQ-iMet-XQ Humidity Temp,XQ-iMet-XQ Date,XQ-iMet-XQ Time,XQ-iMet-XQ Longitude,XQ-iMet-XQ Latitude,XQ-iMet-XQ Altitude,XQ-iMet-XQ Sat Count,Profile hour,,
22:21.4,115.944,959.21,11.9,31.6,12.44,12/09/2023,11:18:08,7.1992122,61.6802821,420.182,5,11,ASCENT,
22:21.4,115.974,959.18,11.89,31.7,12.42,12/09/2023,11:18:09,7.1991918,61.6802673,419.24,5,11,,
22:21.4,115.99,959.02,11.87,31.8,12.39,12/09/2023,11:18:10,7.1991699,61.6802922,423.815,5,11,,
22:21.4,116.022,958.93,11.83,31.9,12.39,12/09/2023,11:18:11,7.1991635,61.6802882,422.997,5,11,ASCENT,ASCENT
22:21.5,116.038,958.88,11.85,31.9,12.38,12/09/2023,11:18:12,7.1991472,61.6802884,423.25,5,11,ASCENT,ASCENT
22:21.5,116.069,958.82,11.87,31.9,12.38,12/09/2023,11:18:13,7.1991358,61.6802946,424.461,5,11,ASCENT,ASCENT
22:21.5,116.101,958.74,11.88,32,12.39,12/09/2023,11:18:14,7.1991332,61.6802985,425.815,5,11,ASCENT,ASCENT
22:21.5,116.116,958.7,11.87,32.1,12.39,12/09/2023,11:18:15,7.1991432,61.6802833,427.614,5,11,ASCENT,ASCENT
22:21.6,116.148,958.67,11.9,32,12.41,12/09/2023,11:18:16,7.1991343,61.6802858,430.293,5,11,ASCENT,ASCENT
22:21.6,116.18,958.61,11.87,32.1,12.39,12/09/2023,11:18:17,7.1991456,61.6802912,432.214,5,11,ASCENT,ASCENT
22:21.6,116.196,958.54,11.82,32.1,12.38,12/09/2023,11:18:18,7.1991443,61.6802939,434.9,5,11,ASCENT,ASCENT
22:21.6,116.228,958.48,11.81,32.1,12.38,12/09/2023,11:18:19,7.1991481,61.6802941,435.92,5,11,ASCENT,ASCENT
22:21.7,116.259,958.41,11.78,32.2,12.35,12/09/2023,11:18:20,7.1991563,61.6802873,435.24,5,11,ASCENT,ASCENT
22:21.7,116.279,958.42,11.8,32.2,12.33,12/09/2023,11:18:21,7.1991533,61.6802934,435.365,5,11,ASCENT,ASCENT
22:21.7,116.312,958.34,11.77,32.2,12.31,12/09/2023,11:18:22,7.1991518,61.6802925,435.036,5,11,,
22:21.7,116.327,958.31,11.78,32.2,12.3,12/09/2023,11:18:23,7.1991459,61.6802882,434.239,5,11,,
22:21.8,116.359,958.27,11.79,32.2,12.3,12/09/2023,11:18:24,7.1991478,61.6802898,434.555,5,11,,
22:21.8,116.391,958.2,11.78,32.2,12.27,12/09/2023,11:18:25,7.1991475,61.6802836,435.25,5,11,ASCENT,ASCENT
22:21.8,116.407,958.15,11.78,32.2,12.27,12/09/2023,11:18:26,7.1991471,61.6802795,435.31,5,11,ASCENT,ASCENT
