Time,COM Elapse,XQ-iMet-XQ Pressure,XQ-iMet-XQ Air Temperature,XQ-iMet-XQ Humidity,XQ-iMet-XQ Humidity Temp,XQ-iMet-XQ Date,XQ-iMet-XQ Time,XQ-iMet-XQ Longitude,XQ-iMet-XQ Latitude,XQ-iMet-XQ Altitude,XQ-iMet-XQ Sat Count,Profile hour,,
2023/09/12 21:26:31.9560,292.966,963.49,13.03,40.1,13.72,2023/09/12,11:39:49,7.2423319,61.6672546,402.849,5,11-late,#REF!,ASCENT
2023/09/12 21:26:31.9717,292.982,963.39,12.97,40,13.7,2023/09/12,11:39:50,7.2423142,61.6672651,408.217,5,11-late,ASCENT,ASCENT
2023/09/12 21:26:32.0036,293.014,963.25,12.96,40.1,13.68,2023/09/12,11:39:51,7.2423108,61.6672676,409.259,5,11-late,ASCENT,ASCENT
2023/09/12 21:26:32.0351,293.046,963.12,12.95,40.1,13.63,2023/09/12,11:39:52,7.2423083,61.6672668,411.394,5,11-late,ASCENT,ASCENT
2023/09/12 21:26:32.0509,293.061,963.15,12.93,39.7,13.61,2023/09/12,11:39:53,7.2423097,61.6672713,413.593,5,11-late,ASCENT,ASCENT
2023/09/12 21:26:32.0867,293.097,962.98,12.87,39.3,13.59,2023/09/12,11:39:54,7.2423123,61.6672717,414.932,5,11-late,ASCENT,ASCENT
2023/09/12 21:26:32.1023,293.113,962.95,12.84,39,13.55,2023/09/12,11:39:55,7.2423121,61.6672615,412.334,6,11-late,,
2023/09/12 21:26:32.1307,293.141,962.72,12.77,38.8,13.54,2023/09/12,11:39:56,7.242313,61.6672498,412.33,6,11-late,,
2023/09/12 21:26:32.1619,293.172,962.58,12.76,39.1,13.48,2023/09/12,11:39:57,7.2423128,61.6672459,411.406,6,11-late,,
2023/09/12 21:26:32.1776,293.188,962.46,12.75,39.4,13.48,2023/09/12,11:39:58,7.2423127,61.6672486,411.367,6,11-late,,
2023/09/12 21:26:32.2088,293.219,962.39,12.77,39.4,13.44,2023/09/12,11:39:59,7.2423125,61.6672527,411.005,6,11-late,,
2023/09/12 21:26:32.2401,293.251,962.28,12.72,39.2,13.4,2023/09/12,11:40:00,7.2423128,61.6672627,411.827,6,11-late,ASCENT,ASCENT
2023/09/12 21:26:32.2558,293.266,962.14,12.71,39.2,13.38,2023/09/12,11:40:01,7.2423142,61.6672679,412.141,6,11-late,ASCENT,ASCENT
2023/09/12 21:26:32.2714,293.282,962.14,12.65,38.8,13.38,2023/09/12,11:40:02,7.242314,61.6672805,415.305,6,11-late,ASCENT,ASCENT
2023/09/12 21:26:32.3142,293.325,961.99,12.63,38.5,13.35,2023/09/12,11:40:03,7.2423117,61.6672814,416.867,6,11-late,ASCENT,ASCENT
2023/09/12 21:26:32.3354,293.346,961.9,12.63,38.5,13.33,2023/09/12,11:40:04,7.242314,61.6672826,417.727,6,11-late,ASCENT,ASCENT
2023/09/12 21:26:32.3667,293.377,961.79,12.63,38.5,13.33,2023/09/12,11:40:05,7.2423123,61.6672843,419.153,6,11-late,ASCENT,ASCENT
2023/09/12 21:26:32.3824,293.393,961.65,12.63,38.5,13.33,2023/09/12,11:40:06,7.2423108,61.667286,420.584,6,11-late,ASCENT,ASCENT
2023/09/12 21:26:32.4142,293.425,961.48,12.61,38.4,13.31,2023/09/12,11:40:07,7.242306,61.6672877,421.587,6,11-late,ASCENT,ASCENT
2023/09/12 21:26:32.4455,293.456,961.34,12.56,38.5,13.29,2023/09/12,11:40:08,7.2423023,61.6672881,422.242,6,11-late,ASCENT,ASCENT
2023/09/12 21:26:32.4714,293.482,961.3,12.54,38.3,13.28,2023/09/12,11:40:09,7.2422965,61.6672976,424.725,7,11-late,ASCENT,ASCENT
2023/09/12 21:26:32.4925,293.503,961.16,12.55,38.2,13.29,2023/09/12,11:40:10,7.2422944,61.6673067,426.917,7,11-late,ASCENT,ASCENT
2023/09/12 21:26:32.5238,293.534,961.05,12.52,38.2,13.28,2023/09/12,11:40:11,7.2422921,61.6673119,429.644,7,11-late,ASCENT,ASCENT
2023/09/12 21:26:32.5395,293.55,960.98,12.49,38.3,13.26,2023/09/12,11:40:12,7.2422924,61.6673198,431.508,7,11-late,ASCENT,ASCENT
2023/09/12 21:26:32.5708,293.581,960.78,12.5,38.4,13.24,2023/09/12,11:40:13,7.2422899,61.6673288,434.239,7,11-late,ASCENT,ASCENT
2023/09/12 21:26:32.6031,293.614,960.7,12.53,38.6,13.22,2023/09/12,11:40:14,7.2422889,61.6673357,435.993,7,11-late,ASCENT,ASCENT
2023/09/12 21:26:32.6281,293.639,960.59,12.52,38.6,13.22,2023/09/12,11:40:15,7.2422868,61.6673398,437.734,7,11-late,ASCENT,ASCENT
2023/09/12 21:26:32.6504,293.661,960.42,12.47,38.5,13.2,2023/09/12,11:40:16,7.2422888,61.6673435,438.6,7,11-late,ASCENT,ASCENT
2023/09/12 21:26:32.6817,293.692,960.33,12.39,38.6,13.17,2023/09/12,11:40:17,7.2422876,61.6673458,439.621,7,11-late,ASCENT,ASCENT
2023/09/12 21:26:32.7035,293.714,960.2,12.44,38.6,13.14,2023/09/12,11:40:18,7.2422902,61.6673472,440.902,7,11-late,ASCENT,ASCENT
2023/09/12 21:26:32.7294,293.74,960.11,12.42,38.7,13.11,2023/09/12,11:40:19,7.2422895,61.6673503,442.021,7,11-late,ASCENT,ASCENT
2023/09/12 21:26:32.7450,293.755,960.03,12.41,38.8,13.11,2023/09/12,11:40:20,7.242289,61.6673515,442.716,7,11-late,ASCENT,ASCENT
2023/09/12 21:26:32.7848,293.795,959.87,12.38,38.7,13.08,2023/09/12,11:40:21,7.2422899,61.6673547,443.546,7,11-late,ASCENT,ASCENT
2023/09/12 21:26:32.8081,293.819,959.87,12.34,38.7,13.06,2023/09/12,11:40:22,7.242292,61.6673567,445.211,7,11-late,ASCENT,ASCENT
2023/09/12 21:26:32.8239,293.834,959.7,12.33,38.7,13.02,2023/09/12,11:40:23,7.2422932,61.6673576,445.969,7,11-late,ASCENT,ASCENT
2023/09/12 21:26:32.8551,293.866,959.64,12.31,38.6,13.02,2023/09/12,11:40:24,7.2422905,61.6673577,447.04,7,11-late,ASCENT,ASCENT
2023/09/12 21:26:32.8888,293.899,959.54,12.31,38.6,13.03,2023/09/12,11:40:25,7.2422898,61.6673558,448.204,7,11-late,ASCENT,ASCENT
2023/09/12 21:26:32.9150,293.925,959.45,12.28,38.6,13.04,2023/09/12,11:40:26,7.2422863,61.6673524,449.67,7,11-late,ASCENT,ASCENT
