Time,COM Elapse,XQ-iMet-XQ Pressure,XQ-iMet-XQ Air Temperature,XQ-iMet-XQ Humidity,XQ-iMet-XQ Humidity Temp,XQ-iMet-XQ Date,XQ-iMet-XQ Time,XQ-iMet-XQ Longitude,XQ-iMet-XQ Latitude,XQ-iMet-XQ Altitude,XQ-iMet-XQ Sat Count,Profile hour,,
2023/09/12 21:36:29.3786,84.169,974.16,14.98,21.8,16.93,2023/09/12,11:17:52,7.2113378,61.6759388,272.553,13,11,,
2023/09/12 21:36:29.3943,84.185,974.17,15.02,21.6,16.78,2023/09/12,11:17:53,7.2113301,61.6759418,274.237,10,11,,
2023/09/12 21:36:29.4256,84.216,974.07,15.04,21.6,16.63,2023/09/12,11:17:54,7.211327,61.6759434,275.956,10,11,,
2023/09/12 21:36:29.4571,84.248,973.96,15.02,21.8,16.5,2023/09/12,11:17:55,7.2113188,61.6759485,279.223,11,11,ASCENT,ASCENT
2023/09/12 21:36:29.4861,84.277,973.92,14.94,22,16.39,2023/09/12,11:17:56,7.2113103,61.6759491,281.476,10,11,ASCENT,ASCENT
2023/09/12 21:36:29.5063,84.297,973.75,14.91,22.2,16.32,2023/09/12,11:17:57,7.2113101,61.6759513,283.655,11,11,ASCENT,ASCENT
2023/09/12 21:36:29.5372,84.328,973.69,14.92,22.3,16.24,2023/09/12,11:17:58,7.2113081,61.675951,285.379,12,11,ASCENT,ASCENT
2023/09/12 21:36:29.5524,84.343,973.52,14.85,22.5,16.15,2023/09/12,11:17:59,7.2113052,61.6759495,286.951,10,11,ASCENT,ASCENT
2023/09/12 21:36:29.5844,84.375,973.43,14.84,22.5,16.09,2023/09/12,11:18:00,7.2113028,61.67595,288.481,12,11,ASCENT,ASCENT
2023/09/12 21:36:29.6168,84.407,973.27,14.72,22.8,16.02,2023/09/12,11:18:01,7.2113085,61.6759443,288.236,13,11,ASCENT,ASCENT
2023/09/12 21:36:29.6329,84.423,973.16,14.75,22.9,15.95,2023/09/12,11:18:02,7.2113094,61.675941,289.54,10,11,ASCENT,ASCENT
2023/09/12 21:36:29.6685,84.459,973,14.76,23.1,15.91,2023/09/12,11:18:03,7.2113071,61.6759418,291.552,12,11,ASCENT,ASCENT
2023/09/12 21:36:29.6797,84.47,972.87,14.35,23.5,15.88,2023/09/12,11:18:04,7.2112975,61.6759445,293.561,12,11,ASCENT,ASCENT
2023/09/12 21:36:29.7111,84.502,972.69,14.37,23.5,15.83,2023/09/12,11:18:05,7.211294,61.6759464,295.771,10,11,ASCENT,ASCENT
2023/09/12 21:36:29.7424,84.533,972.52,14.49,23.5,15.8,2023/09/12,11:18:06,7.2113059,61.6759396,295.388,12,11,ASCENT,ASCENT
2023/09/12 21:36:29.7581,84.549,972.52,14.54,23.5,15.76,2023/09/12,11:18:07,7.2113071,61.6759393,297.221,11,11,ASCENT,ASCENT
2023/09/12 21:36:29.7930,84.584,972.29,14.48,23.4,15.72,2023/09/12,11:18:08,7.2113059,61.6759372,298.94,10,11,ASCENT,ASCENT
2023/09/12 21:36:29.8246,84.615,972.25,14.41,23.5,15.65,2023/09/12,11:18:09,7.2113079,61.6759368,300.447,11,11,ASCENT,ASCENT
2023/09/12 21:36:29.8377,84.628,972.13,14.31,23.5,15.57,2023/09/12,11:18:10,7.2113097,61.6759349,301.057,12,11,ASCENT,ASCENT
2023/09/12 21:36:29.8772,84.668,972.03,14.21,23.7,15.5,2023/09/12,11:18:11,7.2113033,61.6759329,302.095,9,11,ASCENT,ASCENT
2023/09/12 21:36:29.9011,84.692,971.91,14.22,23.8,15.42,2023/09/12,11:18:12,7.211304,61.6759286,302.866,11,11,ASCENT,ASCENT
2023/09/12 21:36:29.9167,84.707,971.75,14.16,23.9,15.36,2023/09/12,11:18:13,7.2113075,61.6759236,304.251,11,11,ASCENT,ASCENT
2023/09/12 21:36:29.9549,84.745,971.58,14.12,24,15.31,2023/09/12,11:18:14,7.2113095,61.6759229,305.741,11,11,ASCENT,ASCENT
