Time,COM Elapse,XQ-iMet-XQ Pressure,XQ-iMet-XQ Air Temperature,XQ-iMet-XQ Humidity,XQ-iMet-XQ Humidity Temp,XQ-iMet-XQ Date,XQ-iMet-XQ Time,XQ-iMet-XQ Longitude,XQ-iMet-XQ Latitude,XQ-iMet-XQ Altitude,XQ-iMet-XQ Sat Count,Profile hour,Mean longitude,Mean latitude,,
35:24.0,898.554,866.98,1.75,50.8,3.67,13/09/2023,12:56:24,7.2080789,61.6615379,1370.398,4,,,,,
35:24.0,898.58,866.94,1.78,51,3.65,13/09/2023,12:56:25,7.2081368,61.6615495,1371.798,4,,,,,
35:24.0,898.606,866.94,1.84,51.2,3.65,13/09/2023,12:56:26,7.2081303,61.6615444,1370.877,4,,,,,
35:24.0,898.632,866.93,1.76,51.1,3.62,13/09/2023,12:56:27,7.2081237,61.6615431,1370.705,4,,,,,
35:24.1,898.658,866.97,1.78,51.3,3.61,13/09/2023,12:56:28,7.2081197,61.6615395,1370.309,4,,,,,
35:24.1,898.683,866.97,1.79,51.5,3.62,13/09/2023,12:56:29,7.2081089,61.6615365,1370.883,4,,,,,
35:24.1,898.71,866.93,1.72,51.2,3.58,13/09/2023,12:56:30,7.2081079,61.6615314,1370.475,4,,,,,
35:24.2,898.736,866.96,1.7,51.1,3.56,13/09/2023,12:56:31,7.2081887,61.6614029,1346.154,7,,,,,
35:24.2,898.762,867.02,1.73,51.1,3.54,13/09/2023,12:56:32,7.2081877,61.6614187,1349.042,7,,,,,
35:24.2,898.788,866.98,1.73,51.1,3.53,13/09/2023,12:56:33,7.2081973,61.6614274,1349.403,7,,,,,
35:24.2,898.814,866.98,1.91,51.2,3.53,13/09/2023,12:56:34,7.2081998,61.6614265,1349.52,7,,,,,
35:24.3,898.84,866.97,1.84,51.2,3.53,13/09/2023,12:56:35,7.2081998,61.6614292,1349.99,7,,,,,
35:24.3,898.867,866.99,1.76,51.1,3.51,13/09/2023,12:56:36,7.2082006,61.6614339,1349.959,7,,,,,
35:24.3,898.893,866.99,1.78,51.2,3.51,13/09/2023,12:56:37,7.2082009,61.661436,1350.053,8,,,,,
35:24.3,898.919,866.98,1.82,51.2,3.5,13/09/2023,12:56:38,7.2082022,61.6614375,1350.261,8,,,,,
35:24.4,898.944,866.93,1.77,51.1,3.49,13/09/2023,12:56:39,7.2082071,61.661441,1350.148,13,,,,,
35:24.4,898.971,867,1.65,50.9,3.46,13/09/2023,12:56:40,7.2082127,61.661444,1350.353,13,,,,,
35:24.4,898.996,866.95,1.65,50.9,3.43,13/09/2023,12:56:41,7.2082165,61.6614485,1350.793,13,,,,,
35:24.4,899.023,866.87,1.6,50.8,3.36,13/09/2023,12:56:42,7.2082226,61.6614472,1351.324,13,,,,,
35:24.5,899.049,866.9,1.58,50.8,3.33,13/09/2023,12:56:43,7.2082374,61.6614441,1350.714,13,,,,,
35:24.5,899.075,866.94,1.61,50.9,3.32,13/09/2023,12:56:44,7.2082413,61.6614412,1350.25,13,,,,,
35:24.5,899.102,866.84,1.7,50.7,3.31,13/09/2023,12:56:45,7.2082482,61.6614388,1350.712,13,,,,,
35:24.5,899.128,866.86,1.75,50.6,3.29,13/09/2023,12:56:46,7.2082573,61.6614362,1350.78,13,,,,,
35:24.6,899.153,866.83,1.83,50.6,3.27,13/09/2023,12:56:47,7.2082684,61.6614333,1351.235,13,,,,,
35:24.6,899.18,866.85,1.81,50.5,3.24,13/09/2023,12:56:48,7.2082822,61.6614251,1350.885,13,,,,,
35:24.6,899.206,866.89,1.83,50.7,3.24,13/09/2023,12:56:49,7.2082907,61.6614196,1350.706,14,,,,,
35:24.6,899.232,866.89,1.69,50.9,3.22,13/09/2023,12:56:50,7.2082887,61.6614211,1350.851,14,,,,,
35:24.7,899.258,866.91,1.64,51.2,3.24,13/09/2023,12:56:51,7.2082841,61.6614212,1350.445,14,,,,,
35:24.7,899.284,866.89,1.63,51.2,3.24,13/09/2023,12:56:52,7.2082837,61.6614218,1350.274,14,,,,,
35:24.7,899.31,866.9,1.64,51.4,3.24,13/09/2023,12:56:53,7.2082853,61.661422,1350.537,14,,,,,
35:24.8,899.335,866.92,1.62,51.4,3.24,13/09/2023,12:56:54,7.2082884,61.6614226,1350.867,14,,,,,
35:24.8,899.362,866.92,1.62,51.3,3.24,13/09/2023,12:56:55,7.2082879,61.6614229,1351.15,14,,,,,
35:24.8,899.388,866.92,1.63,51.5,3.24,13/09/2023,12:56:56,7.2082897,61.6614231,1351.429,14,,,,,
35:24.8,899.414,866.9,1.65,51.5,3.22,13/09/2023,12:56:57,7.2082911,61.6614231,1351.218,14,,,,,
35:24.9,899.44,866.86,1.63,51.4,3.21,13/09/2023,12:56:58,7.2082899,61.6614249,1351.39,14,,,,,
35:24.9,899.466,866.87,1.62,51.3,3.16,13/09/2023,12:56:59,7.2082894,61.6614255,1351.134,14,,,,,
35:24.9,899.492,866.94,1.61,51.3,3.17,13/09/2023,12:57:00,7.2082899,61.6614262,1351.024,14,,,,,
35:24.9,899.518,866.92,1.62,51.2,3.17,13/09/2023,12:57:01,7.20829,61.6614256,1350.871,14,,,,,
35:25.0,899.545,866.91,1.63,51.1,3.2,13/09/2023,12:57:02,7.2082914,61.6614246,1350.945,14,,,,,
35:25.0,899.57,866.9,1.64,51.2,3.21,13/09/2023,12:57:03,7.2082917,61.6614251,1351.464,14,,,,,
35:25.0,899.596,866.93,1.7,51.4,3.21,13/09/2023,12:57:04,7.2082918,61.6614258,1351.505,14,,,,,
35:25.0,899.622,866.96,1.7,51.5,3.22,13/09/2023,12:57:05,7.2082923,61.6614243,1351.642,14,,,,,
35:25.1,899.649,866.88,1.73,51.7,3.24,13/09/2023,12:57:06,7.2082915,61.6614236,1351.872,14,,,,,
35:25.1,899.674,866.9,1.73,51.8,3.24,13/09/2023,12:57:07,7.2082911,61.661424,1351.832,14,,,,,
35:25.1,899.7,866.91,1.73,51.9,3.24,13/09/2023,12:57:08,7.2082907,61.661423,1351.966,14,,,,,
35:25.1,899.726,866.85,1.79,52,3.25,13/09/2023,12:57:09,7.2082872,61.6614194,1351.966,14,,,,,
35:25.2,899.752,866.93,1.76,52.2,3.24,13/09/2023,12:57:10,7.2082911,61.661419,1351.896,14,,,,,
35:25.2,899.778,866.91,2.01,52.4,3.27,13/09/2023,12:57:11,7.208298,61.6614213,1351.72,14,,,,,
35:25.2,899.804,866.9,2.03,52.5,3.27,13/09/2023,12:57:12,7.2082899,61.6614199,1351.711,14,,,,,
35:25.2,899.831,866.88,1.85,52.6,3.25,13/09/2023,12:57:13,7.2082764,61.6614202,1352.09,14,,,,,
35:25.3,899.857,866.9,1.81,52.1,3.21,13/09/2023,12:57:14,7.2082665,61.6614213,1352.415,14,,,,,
35:25.3,899.882,866.85,2.05,52.1,3.21,13/09/2023,12:57:15,7.2082549,61.6614207,1352.304,14,,,,,
35:25.3,899.908,866.93,2.14,52,3.2,13/09/2023,12:57:16,7.2082504,61.6614199,1352.061,14,,,,,
35:25.4,899.935,866.93,2.29,52.2,3.22,13/09/2023,12:57:17,7.2082483,61.6614187,1351.638,14,,,,,
35:25.4,899.96,866.93,2.32,52.2,3.24,13/09/2023,12:57:18,7.208245,61.661418,1351.732,14,,,,,
35:25.4,899.986,866.96,2.27,52.5,3.24,13/09/2023,12:57:19,7.2082431,61.6614184,1351.633,14,,,,,
35:25.4,900.012,866.97,2.5,52.7,3.27,13/09/2023,12:57:20,7.2082437,61.6614184,1351.377,14,,,,,
35:25.5,900.039,866.89,2.43,52.3,3.27,13/09/2023,12:57:21,7.2082432,61.6614199,1351.535,14,,,,,
35:25.5,900.064,866.88,2.49,52.3,3.27,13/09/2023,12:57:22,7.2082491,61.6614221,1351.815,14,,,,,
35:25.5,900.09,866.87,2.54,52.3,3.31,13/09/2023,12:57:23,7.2082647,61.6614245,1352.238,14,,,,,
35:25.5,900.116,866.84,2.42,52.1,3.27,13/09/2023,12:57:24,7.2082825,61.661429,1352.452,14,,,,,
35:25.6,900.143,866.84,2.44,52.1,3.29,13/09/2023,12:57:25,7.2082936,61.6614257,1352.467,14,,,,,
35:25.6,900.169,866.87,2.01,51.7,3.27,13/09/2023,12:57:26,7.2083006,61.6614214,1353.125,14,,,,,
35:25.6,900.194,866.84,1.79,51.8,3.25,13/09/2023,12:57:27,7.2083108,61.6614243,1353.283,14,,,,,
35:25.6,900.22,866.88,2.14,51.8,3.29,13/09/2023,12:57:28,7.2083206,61.6614268,1353.119,14,,,,,
35:25.7,900.247,866.86,1.88,51.5,3.28,13/09/2023,12:57:29,7.208321,61.6614286,1352.795,14,,,,,
35:25.7,900.272,866.93,1.72,51.3,3.22,13/09/2023,12:57:30,7.2083177,61.6614301,1352.49,14,,,,,
35:25.7,900.299,866.93,1.71,51.2,3.22,13/09/2023,12:57:31,7.2083205,61.6614289,1352.536,14,,,,,
35:25.7,900.325,866.94,1.68,51.3,3.21,13/09/2023,12:57:32,7.2083188,61.6614295,1352.55,14,,,,,
35:25.8,900.351,866.89,1.7,51.2,3.2,13/09/2023,12:57:33,7.2083139,61.6614301,1352.551,14,,,,,
35:25.8,900.377,866.91,1.69,51.1,3.16,13/09/2023,12:57:34,7.2083137,61.6614297,1352.669,14,,,,,
35:25.8,900.403,866.93,1.68,51.3,3.13,13/09/2023,12:57:35,7.2083137,61.6614302,1352.463,14,,,,,
35:25.8,900.429,866.86,1.7,51.2,3.1,13/09/2023,12:57:36,7.2083095,61.6614256,1352.161,14,,,,,
35:25.9,900.454,866.91,1.69,51.3,3.09,13/09/2023,12:57:37,7.2083055,61.6614216,1352.01,14,,,,,
35:25.9,900.481,866.89,1.71,51.4,3.1,13/09/2023,12:57:38,7.2083066,61.6614204,1352.176,14,,,,,
35:25.9,900.507,866.9,1.92,51.7,3.14,13/09/2023,12:57:39,7.208307,61.6614202,1352.192,14,,,,,
35:25.9,900.533,866.91,1.94,51.6,3.17,13/09/2023,12:57:40,7.2083085,61.6614207,1352.161,14,,,,,
35:26.0,900.559,866.93,2.05,51.7,3.21,13/09/2023,12:57:41,7.2083114,61.6614209,1352.102,14,,,,,
35:26.0,900.585,866.95,2.06,51.8,3.22,13/09/2023,12:57:42,7.2083087,61.6614223,1352.056,14,,,,,
35:26.0,900.611,866.92,2,51.7,3.22,13/09/2023,12:57:43,7.2083042,61.6614234,1352.313,14,,,,,
35:26.1,900.637,866.88,1.86,51.7,3.24,13/09/2023,12:57:44,7.2082998,61.6614251,1352.232,14,,,,,
35:26.1,900.663,866.87,1.82,51.6,3.25,13/09/2023,12:57:45,7.2082977,61.6614264,1352.282,14,,,,,
35:26.1,900.689,866.8,1.74,51.4,3.2,13/09/2023,12:57:46,7.2082918,61.6614277,1352.488,14,,,,,
35:26.1,900.715,866.8,1.88,51.4,3.2,13/09/2023,12:57:47,7.2082872,61.6614281,1352.435,14,,,,,
35:26.2,900.741,866.82,2.06,51.7,3.22,13/09/2023,12:57:48,7.2082884,61.6614273,1352.559,14,,,,,
