Time,COM Elapse,XQ-iMet-XQ Pressure,XQ-iMet-XQ Air Temperature,XQ-iMet-XQ Humidity,XQ-iMet-XQ Humidity Temp,XQ-iMet-XQ Date,XQ-iMet-XQ Time,XQ-iMet-XQ Longitude,XQ-iMet-XQ Latitude,XQ-iMet-XQ Altitude,XQ-iMet-XQ Sat Count,Profile hour,Mean longitude,Mean latitude,,
2023/09/13 20:20:52.3690,9.873,953.82,4.23,75.1,4.09,2023/09/13,04:43:29,7.1980333,61.6858897,550.53,9,5-LOW,,,#VALUE!,ASCENT
2023/09/13 20:20:52.3958,9.9,953.84,4.18,75.4,4.11,2023/09/13,04:43:30,7.198021,61.6858853,550.806,9,5-LOW,,,,ASCENT
2023/09/13 20:20:52.4217,9.926,953.79,4.23,75.7,4.14,2023/09/13,04:43:31,7.1980176,61.6858849,551.199,9,5-LOW,,,,ASCENT
2023/09/13 20:20:52.4482,9.952,953.74,4.36,76,4.18,2023/09/13,04:43:32,7.1980246,61.6858907,551.199,9,5-LOW,,,,ASCENT
2023/09/13 20:20:52.4487,9.953,953.74,4.36,76,4.18,2023/09/13,04:43:32,7.1980246,61.6858907,552.044,9,5-LOW,,,,ASCENT
2023/09/13 20:20:52.4741,9.978,953.7,4.48,76.3,4.21,2023/09/13,04:43:33,7.198021,61.6858912,553.121,9,5-LOW,,,,ASCENT
2023/09/13 20:20:52.5005,10.005,953.7,4.66,76.6,4.26,2023/09/13,04:43:34,7.198022,61.6858928,553.856,9,5-LOW,,,,ASCENT
2023/09/13 20:20:52.5264,10.031,953.74,4.71,76.7,4.29,2023/09/13,04:43:35,7.1980209,61.685894,554.287,9,5-LOW,,,,ASCENT
2023/09/13 20:20:52.5520,10.056,953.71,4.67,76.4,4.33,2023/09/13,04:43:36,7.1980156,61.6858922,554.412,9,5-LOW,,,,ASCENT
2023/09/13 20:20:52.5734,10.078,953.71,4.65,76.6,4.37,2023/09/13,04:43:37,7.1980134,61.6858919,554.537,9,5-LOW,,,,ASCENT
2023/09/13 20:20:52.6039,10.108,953.67,4.8,76.6,4.41,2023/09/13,04:43:38,7.1980154,61.6858929,554.584,9,5-LOW,,,,ASCENT
2023/09/13 20:20:52.6300,10.134,953.6,4.85,76.6,4.43,2023/09/13,04:43:39,7.1980169,61.6858945,555.042,9,5-LOW,,,,ASCENT
2023/09/13 20:20:52.6576,10.162,953.64,4.96,76.9,4.5,2023/09/13,04:43:40,7.1980121,61.6858944,555.784,8,5-LOW,,,,ASCENT
2023/09/13 20:20:52.6825,10.187,953.64,5.08,77,4.54,2023/09/13,04:43:41,7.1980172,61.6858946,555.764,9,5-LOW,,,,ASCENT
2023/09/13 20:20:52.6977,10.202,953.59,5.08,76.8,4.56,2023/09/13,04:43:42,7.1980238,61.6858997,556.399,9,5-LOW,,,,ASCENT
2023/09/13 20:20:52.7345,10.239,953.56,5.07,76.6,4.58,2023/09/13,04:43:43,7.1980258,61.6859023,556.826,9,5-LOW,,,,ASCENT
2023/09/13 20:20:52.7591,10.263,953.46,5.12,76.7,4.63,2023/09/13,04:43:44,7.1980262,61.6859028,557.429,9,5-LOW,,,,ASCENT
2023/09/13 20:20:52.7861,10.29,953.4,5.12,76.5,4.68,2023/09/13,04:43:45,7.1980277,61.6859042,558.533,9,5-LOW,,,,ASCENT
2023/09/13 20:20:52.8025,10.307,953.33,5.12,76.4,4.7,2023/09/13,04:43:46,7.1980263,61.6859043,559.591,9,5-LOW,,,,ASCENT
2023/09/13 20:20:52.8341,10.338,953.23,5.05,76.1,4.74,2023/09/13,04:43:47,7.1980196,61.6859031,560.791,9,5-LOW,,,,ASCENT
2023/09/13 20:20:52.8604,10.365,953.09,5.03,76,4.74,2023/09/13,04:43:48,7.1980197,61.6859046,561.947,9,5-LOW,,,,ASCENT
2023/09/13 20:20:52.8840,10.388,952.96,5.14,76.3,4.78,2023/09/13,04:43:49,7.1980186,61.6859057,562.957,9,5-LOW,,,,ASCENT
2023/09/13 20:20:52.9089,10.413,952.8,5.35,77,4.83,2023/09/13,04:43:50,7.1980148,61.6859046,563.82,9,5-LOW,,,,ASCENT
2023/09/13 20:20:52.9303,10.435,952.72,5.58,77.7,4.9,2023/09/13,04:43:51,7.1980133,61.6859035,564.694,9,5-LOW,,,,ASCENT
2023/09/13 20:20:52.9642,10.468,952.49,5.74,78,5,2023/09/13,04:43:52,7.1980131,61.6859016,566.171,9,5-LOW,,,,ASCENT
2023/09/13 20:20:52.9907,10.495,952.3,5.83,78.1,5.04,2023/09/13,04:43:53,7.1980111,61.6858993,567.858,9,5-LOW,,,,ASCENT
2023/09/13 20:20:53.0127,10.517,952.07,5.84,78,5.09,2023/09/13,04:43:54,7.1980107,61.6858965,569.244,9,5-LOW,,,,ASCENT
2023/09/13 20:20:53.0422,10.546,951.86,5.83,77.9,5.12,2023/09/13,04:43:55,7.1980172,61.6858959,571.102,9,5-LOW,,,,ASCENT
2023/09/13 20:20:53.0678,10.572,951.68,5.85,77.7,5.18,2023/09/13,04:43:56,7.1980211,61.6858976,572.19,9,5-LOW,,,,ASCENT
2023/09/13 20:20:53.0935,10.598,951.51,5.85,77.6,5.23,2023/09/13,04:43:57,7.1980246,61.6859002,572.977,9,5-LOW,,,,ASCENT
2023/09/13 20:20:53.1196,10.624,951.38,5.84,77.4,5.26,2023/09/13,04:43:58,7.1980245,61.6858969,573.112,9,5-LOW,,,,ASCENT
2023/09/13 20:20:53.1438,10.648,951.31,5.84,77.2,5.27,2023/09/13,04:43:59,7.1980244,61.6858971,573.788,9,5-LOW,,,,ASCENT
2023/09/13 20:20:53.1672,10.671,951.18,5.82,77.1,5.3,2023/09/13,04:44:00,7.198033,61.685907,574.769,9,5-LOW,,,,ASCENT
2023/09/13 20:20:53.1985,10.703,951.1,5.82,76.9,5.34,2023/09/13,04:44:01,7.198034,61.6859084,575.315,9,5-LOW,,,,ASCENT
2023/09/13 20:20:53.2157,10.72,950.97,5.82,76.8,5.34,2023/09/13,04:44:02,7.1980371,61.6859099,575.623,9,5-LOW,,,,ASCENT
2023/09/13 20:20:53.2512,10.755,950.89,5.79,76.7,5.38,2023/09/13,04:44:03,7.1980478,61.6859189,576.489,9,5-LOW,,,,ASCENT
2023/09/13 20:20:53.2767,10.781,950.82,5.79,76.6,5.4,2023/09/13,04:44:04,7.1980491,61.6859195,577.697,9,5-LOW,,,,ASCENT
2023/09/13 20:20:53.2918,10.796,950.72,5.77,76.5,5.41,2023/09/13,04:44:05,7.1980634,61.6859296,578.146,9,5-LOW,,,,ASCENT
2023/09/13 20:20:53.3289,10.833,950.69,5.74,76.3,5.42,2023/09/13,04:44:06,7.1980646,61.68593,578.259,8,5-LOW,,,,ASCENT
2023/09/13 20:20:53.3546,10.859,950.62,5.71,76.2,5.44,2023/09/13,04:44:07,7.1980579,61.6859257,579.186,9,5-LOW,,,,ASCENT
2023/09/13 20:20:53.3816,10.886,950.56,5.7,76.1,5.44,2023/09/13,04:44:08,7.1980571,61.685925,579.466,9,5-LOW,,,,ASCENT
2023/09/13 20:20:53.4067,10.911,950.43,5.69,76.1,5.45,2023/09/13,04:44:09,7.1980538,61.6859233,579.966,9,5-LOW,,,,ASCENT
2023/09/13 20:20:53.4332,10.937,950.39,5.71,76,5.45,2023/09/13,04:44:10,7.198051,61.6859186,580.539,9,5-LOW,,,,ASCENT
2023/09/13 20:20:53.4594,10.964,950.27,5.74,76,5.48,2023/09/13,04:44:11,7.1980488,61.6859159,581.345,9,5-LOW,,,,ASCENT
2023/09/13 20:20:53.4832,10.987,950.2,5.71,75.9,5.49,2023/09/13,04:44:12,7.1980481,61.6859135,581.899,9,5-LOW,,,,ASCENT
2023/09/13 20:20:53.5093,11.014,950.13,5.73,75.9,5.49,2023/09/13,04:44:13,7.1980391,61.6859104,582.901,9,5-LOW,,,,ASCENT
2023/09/13 20:20:53.5363,11.041,950.06,5.71,75.9,5.51,2023/09/13,04:44:14,7.1980342,61.6859095,583.985,9,5-LOW,,,,ASCENT
2023/09/13 20:20:53.5626,11.067,949.97,5.71,75.8,5.51,2023/09/13,04:44:15,7.1980315,61.6859091,585.121,9,5-LOW,,,,ASCENT
2023/09/13 20:20:53.5892,11.093,949.9,5.71,75.8,5.53,2023/09/13,04:44:16,7.198039,61.6859181,586.113,9,5-LOW,,,,ASCENT
2023/09/13 20:20:53.6144,11.119,949.81,5.72,75.8,5.52,2023/09/13,04:44:17,7.198044,61.6859169,586.849,9,5-LOW,,,,ASCENT
2023/09/13 20:20:53.6404,11.145,949.78,5.72,75.7,5.56,2023/09/13,04:44:18,7.1980524,61.6859177,586.802,9,5-LOW,,,,ASCENT
2023/09/13 20:20:53.6606,11.165,949.76,5.69,75.7,5.53,2023/09/13,04:44:19,7.1980575,61.6859165,586.668,9,5-LOW,,,,ASCENT
2023/09/13 20:20:53.6923,11.197,949.71,5.71,75.6,5.57,2023/09/13,04:44:20,7.1980507,61.6859125,586.934,9,5-LOW,,,,ASCENT
2023/09/13 20:20:53.7085,11.213,949.75,5.72,75.5,5.56,2023/09/13,04:44:21,7.1980548,61.6859129,587.276,9,5-LOW,,,,ASCENT
2023/09/13 20:20:53.7404,11.245,949.74,5.71,75.5,5.6,2023/09/13,04:44:22,7.1980604,61.6859128,587.179,9,5-LOW,,,,ASCENT
2023/09/13 20:20:53.7620,11.266,949.73,5.7,75.5,5.6,2023/09/13,04:44:23,7.1980655,61.6859116,586.661,9,5-LOW,,,,
2023/09/13 20:20:53.7917,11.296,949.75,5.71,75.5,5.61,2023/09/13,04:44:24,7.1980697,61.685915,587.225,9,5-LOW,,,,ASCENT
2023/09/13 20:20:53.8177,11.322,949.78,5.71,75.4,5.63,2023/09/13,04:44:25,7.1980774,61.6859248,587.709,9,5-LOW,,,,ASCENT
2023/09/13 20:20:53.8458,11.35,949.76,5.72,75.3,5.63,2023/09/13,04:44:26,7.1980742,61.6859271,587.529,9,5-LOW,,,,ASCENT
