Time,COM Elapse,XQ-iMet-XQ Pressure,XQ-iMet-XQ Air Temperature,XQ-iMet-XQ Humidity,XQ-iMet-XQ Humidity Temp,XQ-iMet-XQ Date,XQ-iMet-XQ Time,XQ-iMet-XQ Longitude,XQ-iMet-XQ Latitude,XQ-iMet-XQ Altitude,XQ-iMet-XQ Sat Count,Profile hour,Mean longitude,Mean latitude,,,,
2023/09/13 20:29:52.9238,7.314,967.44,4.98,81.4,5.23,2023/09/13,04:44:39,7.1992806,61.680418,401.85,8,5,7.19926167572464,61.6804718836957,,,ASCENT,401.85
2023/09/13 20:29:52.9454,7.335,967.38,4.94,80.9,5.23,2023/09/13,04:44:40,7.1992807,61.6804232,402.453,8,5,7.19926167572464,61.6804718836957,,,ASCENT,402.453
2023/09/13 20:29:52.9767,7.367,967.29,4.86,80.2,5.21,2023/09/13,04:44:41,7.199281,61.6804289,402.865,8,5,7.19926167572464,61.6804718836957,,,ASCENT,402.865
2023/09/13 20:29:52.9923,7.382,967.27,4.88,80,5.19,2023/09/13,04:44:42,7.1992823,61.6804306,404.234,8,5,7.19926167572464,61.6804718836957,,,ASCENT,404.234
2023/09/13 20:29:53.0289,7.419,967.13,4.93,80.1,5.19,2023/09/13,04:44:43,7.1992834,61.6804289,406.179,8,5,7.19926167572464,61.6804718836957,,,ASCENT,406.179
2023/09/13 20:29:53.0438,7.434,967.02,4.95,80.1,5.16,2023/09/13,04:44:44,7.199283,61.6804278,407.093,8,5,7.19926167572464,61.6804718836957,,,ASCENT,407.093
2023/09/13 20:29:53.0715,7.461,966.94,4.96,80,5.17,2023/09/13,04:44:45,7.1992827,61.6804295,409.321,8,5,7.19926167572464,61.6804718836957,,,ASCENT,409.321
2023/09/13 20:29:53.1027,7.493,966.8,4.95,79.9,5.15,2023/09/13,04:44:46,7.1992839,61.6804324,410.246,8,5,7.19926167572464,61.6804718836957,,,ASCENT,410.246
2023/09/13 20:29:53.1241,7.514,966.66,4.93,79.8,5.15,2023/09/13,04:44:47,7.1992803,61.6804408,411.529,8,5,7.19926167572464,61.6804718836957,,,ASCENT,411.529
2023/09/13 20:29:53.1504,7.54,966.57,4.9,79.6,5.12,2023/09/13,04:44:48,7.1992777,61.6804446,410.294,8,5,7.19926167572464,61.6804718836957,,,ASCENT,410.294
2023/09/13 20:29:53.1824,7.572,966.4,4.95,79.8,5.12,2023/09/13,04:44:49,7.1992754,61.6804441,411.931,8,5,7.19926167572464,61.6804718836957,,,ASCENT,411.931
2023/09/13 20:29:53.1994,7.589,966.19,4.89,79.6,5.1,2023/09/13,04:44:50,7.1992691,61.6804443,413.151,8,5,7.19926167572464,61.6804718836957,,,ASCENT,413.151
2023/09/13 20:29:53.2300,7.62,966.06,4.87,79.2,5.09,2023/09/13,04:44:51,7.1992675,61.6804461,414.822,8,5,7.19926167572464,61.6804718836957,,,ASCENT,414.822
2023/09/13 20:29:53.2458,7.636,965.92,4.85,78.9,5.06,2023/09/13,04:44:52,7.1992685,61.6804414,417.488,8,5,7.19926167572464,61.6804718836957,,,ASCENT,417.488
2023/09/13 20:29:53.2770,7.667,965.79,4.84,78.7,5.06,2023/09/13,04:44:53,7.1992679,61.6804377,418.724,8,5,7.19926167572464,61.6804718836957,,,ASCENT,418.724
2023/09/13 20:29:53.3091,7.699,965.68,4.84,78.5,5.05,2023/09/13,04:44:54,7.1992674,61.6804441,419.834,8,5,7.19926167572464,61.6804718836957,,,ASCENT,419.834
2023/09/13 20:29:53.3333,7.723,965.5,4.84,78.5,5.04,2023/09/13,04:44:55,7.1992624,61.6804505,421.283,8,5,7.19926167572464,61.6804718836957,,,ASCENT,421.283
2023/09/13 20:29:53.3560,7.746,965.37,4.95,79.2,5.05,2023/09/13,04:44:56,7.199258,61.6804548,421.251,8,5,7.19926167572464,61.6804718836957,,,ASCENT,421.251
2023/09/13 20:29:53.3874,7.777,965.32,4.99,79.7,5.05,2023/09/13,04:44:57,7.1992554,61.6804604,422.248,8,5,7.19926167572464,61.6804718836957,,,ASCENT,422.248
2023/09/13 20:29:53.4030,7.793,965.18,4.97,80.2,5.06,2023/09/13,04:44:58,7.1992534,61.6804692,422.698,8,5,7.19926167572464,61.6804718836957,,,ASCENT,422.698
2023/09/13 20:29:53.4345,7.824,965.1,4.96,80.8,5.05,2023/09/13,04:44:59,7.199249,61.6804785,424.384,8,5,7.19926167572464,61.6804718836957,,,ASCENT,424.384
2023/09/13 20:29:53.4670,7.857,964.94,4.95,81,5.05,2023/09/13,04:45:00,7.1992455,61.6804845,425.949,8,5,7.19926167572464,61.6804718836957,,,ASCENT,425.949
2023/09/13 20:29:53.4917,7.882,964.83,4.95,81.2,5.06,2023/09/13,04:45:01,7.1992443,61.6804891,425.775,8,5,7.19926167572464,61.6804718836957,,,ASCENT,425.775
2023/09/13 20:29:53.5130,7.903,964.71,5.02,81.6,5.06,2023/09/13,04:45:02,7.1992414,61.6804912,426.309,8,5,7.19926167572464,61.6804718836957,,,ASCENT,426.309
2023/09/13 20:29:53.5448,7.935,964.53,5.02,82,5.06,2023/09/13,04:45:03,7.1992426,61.6804931,428.013,8,5,7.19926167572464,61.6804718836957,,,ASCENT,428.013
2023/09/13 20:29:53.5603,7.95,964.44,4.98,82.4,5.08,2023/09/13,04:45:04,7.1992428,61.6804957,429.438,8,5,7.19926167572464,61.6804718836957,,,ASCENT,429.438
2023/09/13 20:29:53.5921,7.982,964.32,4.97,82.5,5.05,2023/09/13,04:45:05,7.1992383,61.6805007,431.493,8,5,7.19926167572464,61.6804718836957,,,ASCENT,431.493
2023/09/13 20:29:53.6233,8.013,964.23,5.01,82.5,5.06,2023/09/13,04:45:06,7.1992367,61.6805063,432.35,8,5,7.19926167572464,61.6804718836957,,,ASCENT,432.35
2023/09/13 20:29:53.6394,8.029,964.06,5.01,82.6,5.06,2023/09/13,04:45:07,7.1992371,61.68051,433.58,8,5,7.19926167572464,61.6804718836957,,,ASCENT,433.58
2023/09/13 20:29:53.6708,8.061,963.95,5,82.6,5.08,2023/09/13,04:45:08,7.1992381,61.6805142,434.902,8,5,7.19926167572464,61.6804718836957,,,ASCENT,434.902
2023/09/13 20:29:53.6869,8.077,963.82,5,82.7,5.06,2023/09/13,04:45:09,7.1992392,61.6805169,436.085,8,5,7.19926167572464,61.6804718836957,,,ASCENT,436.085
2023/09/13 20:29:53.7254,8.115,963.74,4.99,82.7,5.05,2023/09/13,04:45:10,7.1992405,61.6805174,436.625,8,5,7.19926167572464,61.6804718836957,,,ASCENT,436.625
2023/09/13 20:29:53.7502,8.14,963.62,4.99,82.6,5.05,2023/09/13,04:45:11,7.1992434,61.680516,438.078,8,5,7.19926167572464,61.6804718836957,,,ASCENT,438.078
2023/09/13 20:29:53.7707,8.161,963.5,5,82.4,5.06,2023/09/13,04:45:12,7.1992465,61.6805157,440.225,8,5,7.19926167572464,61.6804718836957,,,ASCENT,440.225
2023/09/13 20:29:53.7984,8.188,963.35,5.02,82.6,5.06,2023/09/13,04:45:13,7.1992469,61.6805166,441.096,8,5,7.19926167572464,61.6804718836957,,,ASCENT,441.096
2023/09/13 20:29:53.8288,8.219,963.21,5.02,82.7,5.06,2023/09/13,04:45:14,7.1992481,61.6805135,442.71,8,5,7.19926167572464,61.6804718836957,,,ASCENT,442.71
2023/09/13 20:29:53.8445,8.234,963.07,5,82.7,5.08,2023/09/13,04:45:15,7.1992509,61.6805134,442.491,8,5,7.19926167572464,61.6804718836957,,,ASCENT,442.491
2023/09/13 20:29:53.8837,8.274,962.93,5.02,82.6,5.05,2023/09/13,04:45:16,7.1992494,61.6805135,443.336,8,5,7.19926167572464,61.6804718836957,,,ASCENT,443.336
2023/09/13 20:29:53.9074,8.297,962.83,5.04,82.5,5.08,2023/09/13,04:45:17,7.1992518,61.6805105,444.297,8,5,7.19926167572464,61.6804718836957,,,ASCENT,444.297
2023/09/13 20:29:53.9259,8.316,962.67,4.98,82.4,5.05,2023/09/13,04:45:18,7.1992523,61.6805106,445.849,8,5,7.19926167572464,61.6804718836957,,,ASCENT,445.849
2023/09/13 20:29:53.9567,8.347,962.53,4.97,82.3,5.05,2023/09/13,04:45:19,7.199248,61.6805085,447.475,8,5,7.19926167572464,61.6804718836957,,,ASCENT,447.475
2023/09/13 20:29:53.9865,8.376,962.41,4.96,82.2,5.05,2023/09/13,04:45:20,7.1992421,61.6805044,449.51,8,5,7.19926167572464,61.6804718836957,,,ASCENT,449.51
2023/09/13 20:29:54.0026,8.393,962.29,4.96,82,5.04,2023/09/13,04:45:21,7.1992426,61.6805022,450.565,8,5,7.19926167572464,61.6804718836957,,,ASCENT,450.565
2023/09/13 20:29:54.0264,8.416,962.13,4.97,81.8,5.04,2023/09/13,04:45:22,7.1992456,61.6805039,452.888,8,5,7.19926167572464,61.6804718836957,,,ASCENT,452.888
2023/09/13 20:29:54.0511,8.441,962.02,4.99,81.8,5.04,2023/09/13,04:45:23,7.1992442,61.6805059,453.53,8,5,7.19926167572464,61.6804718836957,,,ASCENT,453.53
2023/09/13 20:29:54.0818,8.472,961.91,5.01,81.8,5.04,2023/09/13,04:45:24,7.199244,61.6805064,455.157,8,5,7.19926167572464,61.6804718836957,,,ASCENT,455.157
2023/09/13 20:29:54.1132,8.503,961.75,5.02,81.6,5.04,2023/09/13,04:45:25,7.1992436,61.6805061,456.675,8,5,7.19926167572464,61.6804718836957,,,ASCENT,456.675
2023/09/13 20:29:54.1319,8.522,961.67,5.02,81.6,5.04,2023/09/13,04:45:26,7.1992426,61.6805092,457.937,8,5,7.19926167572464,61.6804718836957,,,ASCENT,457.937
