Time,COM Elapse,XQ-iMet-XQ Pressure,XQ-iMet-XQ Air Temperature,XQ-iMet-XQ Humidity,XQ-iMet-XQ Humidity Temp,XQ-iMet-XQ Date,XQ-iMet-XQ Time,XQ-iMet-XQ Longitude,XQ-iMet-XQ Latitude,XQ-iMet-XQ Altitude,XQ-iMet-XQ Sat Count,Profile hour,Mean longitude,Mean latitude,,,
2023/09/13 20:37:49.2708,24.596,983.17,6.28,nan,7.41,2023/09/13,07:00:10,7.2111294,61.676078,305.761,10,7,7.21119813224638,61.6760787974638,ASCENT,ASCENT,#VALUE!
2023/09/13 20:37:49.3024,24.628,983.06,6.1,nan,7.29,2023/09/13,07:00:11,7.2111292,61.6760775,305.997,10,7,,,ASCENT,ASCENT,
2023/09/13 20:37:49.3181,24.644,982.97,5.95,nan,7.22,2023/09/13,07:00:12,7.2111344,61.6760784,306.448,10,7,,,ASCENT,ASCENT,
2023/09/13 20:37:49.3498,24.675,982.82,5.75,nan,7.17,2023/09/13,07:00:13,7.2111422,61.6760803,308.021,10,7,,,ASCENT,ASCENT,
2023/09/13 20:37:49.3790,24.705,982.74,5.71,nan,7.12,2023/09/13,07:00:14,7.2111452,61.6760804,309.237,10,7,,,ASCENT,ASCENT,
2023/09/13 20:37:49.3992,24.725,982.64,5.69,nan,7.08,2023/09/13,07:00:15,7.2111468,61.6760803,310.373,10,7,,,ASCENT,ASCENT,
2023/09/13 20:37:49.4290,24.755,982.43,5.71,nan,7.04,2023/09/13,07:00:16,7.2111529,61.6760803,312.385,10,7,,,ASCENT,ASCENT,
2023/09/13 20:37:49.4446,24.77,982.3,5.73,nan,7,2023/09/13,07:00:17,7.2111582,61.6760808,313.375,10,7,,,ASCENT,ASCENT,
2023/09/13 20:37:49.4769,24.802,982.14,5.75,nan,6.99,2023/09/13,07:00:18,7.2111624,61.6760824,314.561,10,7,,,ASCENT,ASCENT,
2023/09/13 20:37:49.5096,24.835,982.04,5.76,nan,6.97,2023/09/13,07:00:19,7.2111591,61.6760823,315.92,10,7,,,ASCENT,ASCENT,
2023/09/13 20:37:49.5368,24.862,981.92,5.77,nan,6.95,2023/09/13,07:00:20,7.2111635,61.6760873,320.176,10,7,,,ASCENT,ASCENT,
2023/09/13 20:37:49.5550,24.881,981.69,5.78,nan,6.91,2023/09/13,07:00:21,7.2111607,61.6760908,321.845,10,7,,,ASCENT,ASCENT,
2023/09/13 20:37:49.5863,24.912,981.6,5.78,nan,6.89,2023/09/13,07:00:22,7.2111643,61.676092,324.113,10,7,,,ASCENT,ASCENT,
2023/09/13 20:37:49.6026,24.928,981.32,5.78,nan,6.84,2023/09/13,07:00:23,7.211168,61.6760913,326.136,10,7,,,ASCENT,ASCENT,
2023/09/13 20:37:49.6261,24.952,981.2,5.81,nan,6.83,2023/09/13,07:00:24,7.211172,61.6760871,327.169,10,7,,,ASCENT,ASCENT,
2023/09/13 20:37:49.6525,24.978,981.11,5.78,nan,6.8,2023/09/13,07:00:25,7.2111759,61.6760856,328.323,9,7,,,ASCENT,ASCENT,
2023/09/13 20:37:49.6820,25.008,980.97,5.74,nan,6.79,2023/09/13,07:00:26,7.2111788,61.6760851,329.363,10,7,,,ASCENT,ASCENT,
2023/09/13 20:37:49.7139,25.039,980.82,5.7,nan,6.76,2023/09/13,07:00:27,7.2111773,61.6760862,331.074,10,7,,,ASCENT,ASCENT,
2023/09/13 20:37:49.7300,25.056,980.72,5.69,nan,6.75,2023/09/13,07:00:28,7.2111839,61.6760853,333.283,10,7,,,ASCENT,ASCENT,
2023/09/13 20:37:49.7634,25.089,980.6,5.67,nan,6.7,2023/09/13,07:00:29,7.2111832,61.6760835,333.617,10,7,,,ASCENT,ASCENT,
2023/09/13 20:37:49.7930,25.119,980.52,5.73,nan,6.72,2023/09/13,07:00:30,7.2111878,61.6760862,334.524,10,7,,,ASCENT,ASCENT,
2023/09/13 20:37:49.8187,25.144,980.34,5.74,nan,6.69,2023/09/13,07:00:31,7.2111871,61.6760857,335.325,10,7,,,ASCENT,ASCENT,
