Time,COM Elapse,XQ-iMet-XQ Pressure,XQ-iMet-XQ Air Temperature,XQ-iMet-XQ Humidity,XQ-iMet-XQ Humidity Temp,XQ-iMet-XQ Date,XQ-iMet-XQ Time,XQ-iMet-XQ Longitude,XQ-iMet-XQ Latitude,XQ-iMet-XQ Altitude,XQ-iMet-XQ Sat Count,Profile hour,Mean longitude,Mean latitude,,,,
2023/09/13 21:27:09.7686,707.804,984.34,4.22,88.9,4.87,2023/09/13,04:55:39,7.2423468,61.6672052,282.526,6,5,7.24240834793104,61.6674595193103,,,START,START
2023/09/13 21:27:10.1649,708.201,983.76,4.57,91.7,4.63,2023/09/13,04:55:54,7.2423121,61.6672141,281.887,6,5,7.24240834793104,61.6674595193103,ASCENT,#REF!,,#VALUE!
2023/09/13 21:27:10.1784,708.214,983.72,4.64,92.1,4.65,2023/09/13,04:55:55,7.2423129,61.6672179,282.998,6,5,7.24240834793104,61.6674595193103,ASCENT,ASCENT,,
2023/09/13 21:27:10.2163,708.252,983.6,4.72,92.3,4.67,2023/09/13,04:55:56,7.2422988,61.6672362,285.165,6,5,7.24240834793104,61.6674595193103,ASCENT,ASCENT,,
2023/09/13 21:27:10.2420,708.278,983.5,4.74,92.5,4.68,2023/09/13,04:55:57,7.2423046,61.6672522,286.286,6,5,7.24240834793104,61.6674595193103,ASCENT,ASCENT,,
2023/09/13 21:27:10.2576,708.293,983.34,4.8,92.6,4.71,2023/09/13,04:55:58,7.2423025,61.6672659,287.318,6,5,7.24240834793104,61.6674595193103,ASCENT,ASCENT,,
2023/09/13 21:27:10.2891,708.325,983.2,4.74,92.5,4.72,2023/09/13,04:55:59,7.2422853,61.6672949,289.888,6,5,7.24240834793104,61.6674595193103,ASCENT,ASCENT,,
2023/09/13 21:27:10.3205,708.356,983.06,4.7,92.5,4.72,2023/09/13,04:56:00,7.2422697,61.6673436,294.092,6,5,7.24240834793104,61.6674595193103,ASCENT,ASCENT,,
2023/09/13 21:27:10.3377,708.373,982.96,4.71,92.5,4.74,2023/09/13,04:56:01,7.2422486,61.667387,298.537,7,5,7.24240834793104,61.6674595193103,ASCENT,ASCENT,,
2023/09/13 21:27:10.3680,708.404,982.82,4.73,92.6,4.75,2023/09/13,04:56:02,7.2422426,61.6674121,301.567,7,5,7.24240834793104,61.6674595193103,ASCENT,ASCENT,,
2023/09/13 21:27:10.3992,708.435,982.71,4.81,92.8,4.76,2023/09/13,04:56:03,7.2422556,61.6673954,300.887,7,5,7.24240834793104,61.6674595193103,ASCENT,ASCENT,,
