XQ-iMet-XQ Pressure,XQ-iMet-XQ Air Temperature,XQ-iMet-XQ Humidity,XQ-iMet-XQ Humidity Temp,XQ-iMet-XQ Date,XQ-iMet-XQ Time,XQ-iMet-XQ Longitude,XQ-iMet-XQ Latitude,XQ-iMet-XQ Altitude,XQ-iMet-XQ Sat Count,Profile hour,,,,
969.38,7.29,nan,25,2023/09/14,04:46:10,7.199199,61.6803932,424.481,9,,#REF!,,#VALUE!,
969.39,7.31,nan,25,2023/09/14,04:46:11,7.1991923,61.6803958,424.896,9,,ASCENT,ASCENT,,
969.39,7.32,nan,25,2023/09/14,04:46:12,7.1991867,61.680397,425.465,9,,ASCENT,ASCENT,,
969.38,7.34,nan,25,2023/09/14,04:46:13,7.1991786,61.6803998,425.825,9,,ASCENT,ASCENT,,
969.37,7.36,nan,25,2023/09/14,04:46:14,7.1991763,61.6803991,426.596,9,,ASCENT,ASCENT,,
969.35,7.46,nan,25,2023/09/14,04:46:15,7.1991745,61.6804009,426.875,9,,ASCENT,ASCENT,,
969.35,7.4,nan,25,2023/09/14,04:46:16,7.1991715,61.6804028,427.176,9,,ASCENT,ASCENT,,
969.41,7.28,nan,25,2023/09/14,04:46:17,7.1991679,61.680405,427.175,9,,ASCENT,ASCENT,,
969.38,7.2,nan,25,2023/09/14,04:46:18,7.1991639,61.6804076,427.085,9,,ASCENT,ASCENT,,
969.4,7.18,nan,25,2023/09/14,04:46:19,7.1991617,61.6804092,427.099,9,,,,,
969.35,6.78,nan,25,2023/09/14,04:46:20,7.1991595,61.68041,427.141,9,,ASCENT,ASCENT,,
969.32,5.98,nan,25,2023/09/14,04:46:21,7.1991593,61.6804099,427.427,9,,ASCENT,ASCENT,,
969.28,5.55,nan,25,2023/09/14,04:46:22,7.1991592,61.6804098,428.037,9,,ASCENT,ASCENT,,
969.24,5.55,nan,25,2023/09/14,04:46:22,7.1991592,61.6804098,428.037,9,,ASCENT,ASCENT,,
969.24,5.14,nan,25,2023/09/14,04:46:23,7.1991556,61.6804116,428.149,9,,ASCENT,ASCENT,,
969.2,4.96,nan,25,2023/09/14,04:46:24,7.1991564,61.680415,428.25,9,,ASCENT,ASCENT,,
969.24,4.86,nan,25,2023/09/14,04:46:25,7.1991591,61.6804176,428.202,9,,ASCENT,ASCENT,,
969.18,4.81,nan,25,2023/09/14,04:46:26,7.1991573,61.6804174,428.283,9,,ASCENT,ASCENT,,
969.13,4.83,nan,25,2023/09/14,04:46:27,7.1991526,61.6804191,428.036,9,,,,,
