Flight time,Altitude,Home Distance,Wind Direction,Wind Speed,Profile ID,Longitude,Latitude,Start Altitude
00m 30s,11.3 m,6 m,4°,5.30 m/s,13-09-Cm,7.1993,61.6805,420
00m 35s,16.5 m,6 m,2°,4.90 m/s,13-09-Cm,7.1993,61.6805,420
00m 40s,22.8 m,7 m,4°,4.37 m/s,13-09-Cm,7.1993,61.6805,420
00m 45s,27.9 m,7 m,6°,4.13 m/s,13-09-Cm,7.1993,61.6805,420
00m 50s,32.4 m,7 m,4°,3.74 m/s,13-09-Cm,7.1993,61.6805,420
00m 55s,38.0 m,7 m,2°,3.33 m/s,13-09-Cm,7.1993,61.6805,420
01m 00s,43.5 m,7 m,5°,3.09 m/s,13-09-Cm,7.1993,61.6805,420
01m 05s,48.1 m,7 m,6°,2.99 m/s,13-09-Cm,7.1993,61.6805,420
01m 10s,53.4 m,7 m,9°,2.71 m/s,13-09-Cm,7.1993,61.6805,420
01m 15s,58.3 m,7 m,6°,2.50 m/s,13-09-Cm,7.1993,61.6805,420
01m 20s,63.0 m,7 m,2°,2.56 m/s,13-09-Cm,7.1993,61.6805,420
01m 25s,67.1 m,7 m,7°,2.71 m/s,13-09-Cm,7.1993,61.6805,420
01m 30s,71.6 m,7 m,359°,2.59 m/s,13-09-Cm,7.1993,61.6805,420
01m 35s,76.1 m,7 m,357°,2.65 m/s,13-09-Cm,7.1993,61.6805,420
01m 40s,81.2 m,7 m,354°,2.56 m/s,13-09-Cm,7.1993,61.6805,420
01m 45s,86.7 m,7 m,351°,2.55 m/s,13-09-Cm,7.1993,61.6805,420
01m 50s,91.6 m,7 m,348°,2.80 m/s,13-09-Cm,7.1993,61.6805,420
01m 55s,96.5 m,7 m,347°,2.62 m/s,13-09-Cm,7.1993,61.6805,420
02m 00s,103.1 m,7 m,354°,2.74 m/s,13-09-Cm,7.1993,61.6805,420
02m 05s,113.2 m,7 m,2°,2.74 m/s,13-09-Cm,7.1993,61.6805,420
02m 10s,124.0 m,7 m,1°,2.85 m/s,13-09-Cm,7.1993,61.6805,420
02m 15s,134.7 m,7 m,6°,2.84 m/s,13-09-Cm,7.1993,61.6805,420
02m 20s,145.2 m,7 m,7°,2.80 m/s,13-09-Cm,7.1993,61.6805,420
02m 25s,156.2 m,7 m,7°,2.73 m/s,13-09-Cm,7.1993,61.6805,420
02m 30s,166.4 m,7 m,1°,2.35 m/s,13-09-Cm,7.1993,61.6805,420
02m 35s,176.7 m,7 m,2°,2.18 m/s,13-09-Cm,7.1993,61.6805,420
02m 40s,186.6 m,7 m,358°,2.12 m/s,13-09-Cm,7.1993,61.6805,420
02m 45s,196.3 m,7 m,10°,2.16 m/s,13-09-Cm,7.1993,61.6805,420
02m 50s,206.6 m,7 m,22°,1.95 m/s,13-09-Cm,7.1993,61.6805,420
02m 55s,216.8 m,7 m,23°,1.88 m/s,13-09-Cm,7.1993,61.6805,420
03m 00s,227.2 m,7 m,20°,1.96 m/s,13-09-Cm,7.1993,61.6805,420
03m 05s,237.5 m,7 m,28°,2.00 m/s,13-09-Cm,7.1993,61.6805,420
03m 10s,248.3 m,7 m,29°,1.93 m/s,13-09-Cm,7.1993,61.6805,420
03m 15s,259.0 m,7 m,37°,1.87 m/s,13-09-Cm,7.1993,61.6805,420
03m 20s,269.7 m,7 m,35°,1.86 m/s,13-09-Cm,7.1993,61.6805,420
03m 25s,280.3 m,7 m,42°,1.96 m/s,13-09-Cm,7.1993,61.6805,420
03m 30s,291.0 m,7 m,41°,2.02 m/s,13-09-Cm,7.1993,61.6805,420
03m 35s,301.5 m,7 m,42°,1.94 m/s,13-09-Cm,7.1993,61.6805,420
03m 40s,311.9 m,7 m,39°,1.90 m/s,13-09-Cm,7.1993,61.6805,420
03m 45s,322.3 m,7 m,42°,1.92 m/s,13-09-Cm,7.1993,61.6805,420
03m 50s,332.1 m,7 m,43°,1.94 m/s,13-09-Cm,7.1993,61.6805,420
03m 55s,342.0 m,7 m,46°,2.20 m/s,13-09-Cm,7.1993,61.6805,420
04m 00s,352.1 m,7 m,41°,2.20 m/s,13-09-Cm,7.1993,61.6805,420
04m 05s,362.4 m,7 m,44°,2.20 m/s,13-09-Cm,7.1993,61.6805,420
04m 10s,373.0 m,7 m,49°,2.09 m/s,13-09-Cm,7.1993,61.6805,420
04m 15s,383.3 m,7 m,52°,2.10 m/s,13-09-Cm,7.1993,61.6805,420
04m 20s,393.8 m,7 m,55°,2.15 m/s,13-09-Cm,7.1993,61.6805,420
