Flight time,Altitude,Home Distance,Wind Direction,Wind Speed,Profile ID,Longitude,Latitude,Start Altitude
11m 40s,59.5 m,222 m,26°,3.34 m/s,,,,540
11m 50s,109.7 m,355 m,35°,0.65 m/s,,,,540
11m 55s,138.7 m,415 m,27°,2.80 m/s,,,,540
12m 00s,167.1 m,476 m,61°,1.81 m/s,,,,540
12m 25s,300.2 m,748 m,46°,2.19 m/s,,,,540
12m 40s,359.5 m,799 m,171°,2.33 m/s,14-12-Em,7.188838,61.6915901,540
12m 45s,390.4 m,799 m,169°,1.92 m/s,14-12-Em,7.188838,61.6915901,540
12m 50s,420.7 m,799 m,179°,2.52 m/s,14-12-Em,7.188838,61.6915901,540
12m 55s,451.3 m,799 m,178°,3.03 m/s,14-12-Em,7.188838,61.6915901,540
13m 00s,481.8 m,799 m,178°,3.01 m/s,14-12-Em,7.188838,61.6915901,540
13m 05s,499.6 m,800 m,193°,2.45 m/s,14-12-Em,7.188838,61.6915901,540
13m 15s,499.5 m,801 m,184°,3.64 m/s,14-12-Em,7.188838,61.6915901,540
16m 45s,158.6 m,805 m,247°,1.21 m/s,,,,540
16m 55s,158.6 m,805 m,291°,0.99 m/s,,,,540
17m 00s,168.9 m,806 m,258°,0.86 m/s,,,,540
17m 25s,193.4 m,570 m,351°,1.59 m/s,,,,540
17m 30s,194.1 m,502 m,20°,1.35 m/s,,,,540
17m 35s,194.2 m,431 m,42°,1.02 m/s,,,,540
17m 45s,193.6 m,301 m,173°,1.10 m/s,,,,540
17m 50s,193.3 m,246 m,237°,0.92 m/s,,,,540
17m 55s,193.3 m,206 m,24°,0.34 m/s,,,,540
20m 25s,13.9 m,160 m,9°,2.59 m/s,,,,540
20m 30s,14.4 m,160 m,8°,2.67 m/s,,,,540
