Flight time,Altitude,Home Distance,Wind Direction,Wind Speed,Profile ID,Longitude,Latitude,Start Altitude
00m 10s,3.6 m,6 m,313°,4.38 m/s,13-15-Am,7.2423,61.6674,285
00m 15s,8.7 m,6 m,312°,4.64 m/s,13-15-Am,7.2423,61.6674,285
00m 25s,18.9 m,6 m,305°,4.99 m/s,13-15-Am,7.2423,61.6674,285
00m 35s,28.8 m,6 m,300°,4.91 m/s,13-15-Am,7.2423,61.6674,285
00m 55s,49.1 m,6 m,304°,4.94 m/s,13-15-Am,7.2423,61.6674,285
01m 05s,59.2 m,5 m,305°,4.39 m/s,13-15-Am,7.2423,61.6674,285
01m 10s,64.3 m,5 m,305°,5.04 m/s,13-15-Am,7.2423,61.6674,285
01m 30s,84.4 m,5 m,316°,5.82 m/s,13-15-Am,7.2423,61.6674,285
01m 40s,94.1 m,5 m,315°,6.36 m/s,13-15-Am,7.2423,61.6674,285
01m 45s,98.7 m,5 m,317°,6.23 m/s,13-15-Am,7.2423,61.6674,285
02m 05s,137.4 m,5 m,308°,7.15 m/s,13-15-Am,7.2423,61.6674,285
02m 25s,177.5 m,5 m,307°,7.65 m/s,13-15-Am,7.2423,61.6674,285
02m 30s,187.5 m,5 m,306°,7.39 m/s,13-15-Am,7.2423,61.6674,285
02m 40s,207.7 m,5 m,312°,7.35 m/s,13-15-Am,7.2423,61.6674,285
02m 45s,217.6 m,5 m,307°,7.23 m/s,13-15-Am,7.2423,61.6674,285
03m 00s,247.9 m,5 m,311°,7.18 m/s,13-15-Am,7.2423,61.6674,285
03m 05s,257.9 m,5 m,307°,7.04 m/s,13-15-Am,7.2423,61.6674,285
03m 20s,288.0 m,5 m,304°,6.61 m/s,13-15-Am,7.2423,61.6674,285
03m 25s,298.1 m,5 m,307°,6.70 m/s,13-15-Am,7.2423,61.6674,285
03m 30s,308.1 m,5 m,305°,6.42 m/s,13-15-Am,7.2423,61.6674,285
03m 45s,338.3 m,5 m,302°,6.75 m/s,13-15-Am,7.2423,61.6674,285
04m 15s,398.7 m,5 m,321°,6.26 m/s,13-15-Am,7.2423,61.6674,285
04m 20s,408.7 m,5 m,317°,6.64 m/s,13-15-Am,7.2423,61.6674,285
04m 50s,469.0 m,5 m,306°,4.93 m/s,13-15-Am,7.2423,61.6674,285
05m 05s,497.1 m,5 m,304°,4.37 m/s,13-15-Am,7.2423,61.6674,285
09m 15s,65.8 m,4 m,316°,5.03 m/s,,,,
09m 20s,65.7 m,4 m,316°,4.91 m/s,,,,
09m 25s,65.6 m,4 m,317°,4.93 m/s,,,,
09m 30s,65.7 m,4 m,322°,4.63 m/s,,,,
09m 35s,65.8 m,4 m,315°,4.02 m/s,,,,
10m 50s,2.4 m,1 m,309°,6.15 m/s,,,,
