station_id,station_lat,station_lon,grid_lat,grid_lon,grid_i,grid_j
MG,61.659,7.276,61.663,7.284,85,57
NB,61.687,7.197,61.69,7.19,80,60
SM,61.677,7.132,61.673,7.133,77,58
FL,61.423,6.764,61.421,6.772,58,30
OD,61.694,6.808,61.691,6.81,60,60
VS,61.478,7.034,61.475,7.036,72,36
FN,61.907,7.058,61.907,7.059,73,84
OV,61.792,6.822,61.79,6.83,61,71
LV,61.859,6.889,61.862,6.887,64,79
SV,61.774,7.486,61.77,7.495,96,69
FL_old,61.4352,6.7707,61.439358,6.771637,32,58
BH,61.66016865,7.2742631,61.663097,7.284027,85,57
FF,61.675952354678884,7.211611010507808,61.672394,7.2083435,81,58
NV,61.6672661,7.2415509,61.66325,7.2461243,83,57
