Meﬂstellenbeschreibung:
Logger Seriennummer   :080032322731
Logging Methode: Augenblickswerte
Messintervall: 05 min Speicherintervall: 00:05:00 Messungen: 1
Datum	Zeit	  1.Temperatur    [∞C]	  2.rel.Feuchte    [%]	
12.09.23	08:00:00	   20,1099	   47,6587	
12.09.23	08:05:00	   19,4579	   54,6093	
12.09.23	08:10:00	   18,8791	   54,3895	
12.09.23	08:15:00	    18,398	   54,7299	
12.09.23	08:20:00	    17,978	   55,2686	
12.09.23	08:25:00	    17,558	     55,29	
12.09.23	08:30:00	   17,1282	   54,6688	
12.09.23	08:35:00	   16,7277	   54,5391	
12.09.23	08:40:00	   16,3492	   54,8092	
12.09.23	08:45:00	   16,0098	   55,0397	
12.09.23	08:50:00	   15,6996	   55,1893	
12.09.23	08:55:00	   15,3993	    55,409	
12.09.23	09:00:00	   14,9182	   64,1697	
12.09.23	09:05:00	   14,5885	   65,0397	
12.09.23	09:10:00	   14,3785	   64,5498	
12.09.23	09:15:00	    14,188	    64,449	
12.09.23	09:20:00	   14,0293	   64,2399	
12.09.23	09:25:00	   13,8877	   62,5595	
12.09.23	09:30:00	   13,6484	   60,6288	
12.09.23	09:35:00	     13,37	   59,8489	
12.09.23	09:40:00	   13,0598	   59,8489	
12.09.23	09:45:00	   12,7888	   59,8596	
12.09.23	09:50:00	   12,5397	   60,1297	
12.09.23	09:55:00	    12,359	   61,0195	
12.09.23	10:00:00	   12,2198	   60,9295	
12.09.23	10:05:00	   12,0586	    60,699	
12.09.23	10:10:00	   11,9096	    60,609	
12.09.23	10:15:00	   11,8486	   61,1096	
12.09.23	10:20:00	   11,7387	   62,0391	
12.09.23	10:25:00	   11,6777	   62,8999	
12.09.23	10:30:00	   11,6093	   63,2097	
12.09.23	10:35:00	    11,558	   63,3089	
12.09.23	10:40:00	   11,4676	   63,0495	
12.09.23	10:45:00	     11,37	   62,5992	
12.09.23	10:50:00	   11,2991	   63,9896	
12.09.23	10:55:00	   11,2576	     64,91	
12.09.23	11:00:00	   11,3187	   64,8199	
12.09.23	11:05:00	   11,2698	      62,5	
12.09.23	11:10:00	   11,2479	   65,3892	
12.09.23	11:15:00	   11,1893	   65,3785	
12.09.23	11:20:00	   11,1893	   67,8785	
12.09.23	11:25:00	   11,2991	   73,3486	
12.09.23	11:30:00	   11,4579	   74,5299	
12.09.23	11:35:00	   11,6386	   74,5894	
12.09.23	11:40:00	   11,8584	   77,8694	
12.09.23	11:45:00	   12,3199	    54,649	
12.09.23	11:50:00	   10,1099	   58,0388	
12.09.23	11:55:00	   9,44811	   63,1487	
12.09.23	12:00:00	   7,36996	   67,1596	
12.09.23	12:05:00	   6,84982	   65,4991	
12.09.23	12:10:00	   6,14896	   67,0589	
12.09.23	12:15:00	   5,66789	   67,7198	
12.09.23	12:20:00	   5,25763	   68,9393	
12.09.23	12:25:00	   5,32845	   68,0495	
12.09.23	12:30:00	   5,66789	   67,1993	
12.09.23	12:35:00	   6,10989	   64,6093	
12.09.23	12:40:00	   6,23932	   62,5092	
12.09.23	12:45:00	   6,00977	   63,6493	
12.09.23	12:50:00	    6,5177	   62,2085	
12.09.23	12:55:00	   7,16972	   59,5696	
12.09.23	13:00:00	   7,86813	   57,3993	
12.09.23	13:05:00	   8,58852	   55,9295	
12.09.23	13:10:00	   8,90842	   52,9991	
12.09.23	13:15:00	   9,21856	   52,9594	
12.09.23	13:20:00	   9,14774	   53,8095	
12.09.23	13:25:00	   9,44811	      52,5	
12.09.23	13:30:00	   9,13797	   52,4191	
12.09.23	13:35:00	   9,16972	   52,8388	
12.09.23	13:40:00	   9,05983	   52,8999	
12.09.23	13:45:00	    8,4884	   55,0794	
12.09.23	13:50:00	   8,36874	   55,7585	
12.09.23	13:55:00	   8,27839	   56,4698	
12.09.23	14:00:00	   8,57875	   58,0388	
12.09.23	14:05:00	   8,87912	   60,9493	
12.09.23	14:10:00	   9,34799	   58,4493	
12.09.23	14:15:00	   9,63858	   56,0699	
12.09.23	14:20:00	   9,66789	   53,5394	
12.09.23	14:25:00	   9,53846	   54,0995	
12.09.23	14:30:00	   9,58974	   54,9191	
12.09.23	14:35:00	   9,52869	   53,2585	
12.09.23	14:40:00	   9,37973	   52,8999	
12.09.23	14:45:00	   9,21856	   53,2189	
12.09.23	14:50:00	    9,2381	   54,3086	
12.09.23	14:55:00	   9,59951	    57,149	
12.09.23	15:00:00	   10,0195	    56,369	
12.09.23	15:05:00	   10,1294	   54,1499	
12.09.23	15:10:00	   10,0098	   51,6285	
12.09.23	15:15:00	   9,96825	   51,5293	
12.09.23	15:20:00	   9,73871	   50,7387	
12.09.23	15:25:00	   9,37973	   50,5189	
12.09.23	15:30:00	   8,96948	   50,6395	
12.09.23	15:35:00	   8,65934	   52,0788	
12.09.23	15:40:00	   8,62759	   55,0992	
12.09.23	15:45:00	   8,53968	   54,4887	
12.09.23	15:50:00	   8,41758	   52,8892	
12.09.23	15:55:00	   8,22955	   53,1197	
12.09.23	16:00:00	    8,0293	   53,2799	
12.09.23	16:05:00	   7,82906	   53,5089	
12.09.23	16:10:00	   7,57998	   52,8892	
12.09.23	16:15:00	   7,27961	   53,9286	
12.09.23	16:20:00	   6,92796	   61,0089	
12.09.23	16:25:00	   6,62759	   58,9591	
12.09.23	16:30:00	   6,35897	   57,9289	
12.09.23	16:35:00	   6,10989	   58,3593	
12.09.23	16:40:00	   5,93895	   58,9988	
12.09.23	16:45:00	   5,77778	   59,5299	
12.09.23	16:50:00	   5,63858	     59,33	
12.09.23	16:55:00	   5,48962	   59,8291	
12.09.23	17:00:00	    5,3895	   60,4686	
12.09.23	17:05:00	   5,33822	   61,3996	
12.09.23	17:10:00	   5,28938	   62,1688	
12.09.23	17:15:00	   5,20879	   61,7399	
12.09.23	17:20:00	   7,74847	   60,5998	
12.09.23	17:25:00	   9,13797	   60,5388	
12.09.23	17:30:00	   9,44811	   61,1096	
12.09.23	17:35:00	   9,35775	   56,3797	
12.09.23	17:40:00	   8,90842	   58,4692	
12.09.23	17:45:00	   8,33944	   57,9197	
12.09.23	17:50:00	   8,50794	   57,3886	
12.09.23	17:55:00	   8,71795	   56,1096	
12.09.23	18:00:00	   8,78877	   55,5189	
12.09.23	18:05:00	   8,28816	   57,6587	
12.09.23	18:10:00	    8,8083	   57,5687	
12.09.23	18:15:00	   8,43956	   58,2998	
12.09.23	18:20:00	   8,20757	   60,8898	
12.09.23	18:25:00	   8,59829	   59,5986	
12.09.23	18:30:00	   8,13919	   64,1087	
12.09.23	18:35:00	   8,66911	   60,7998	
12.09.23	18:40:00	    9,0696	   61,4988	
12.09.23	18:45:00	   7,46764	   62,7793	
12.09.23	18:50:00	   7,79976	   65,0687	
12.09.23	18:55:00	    8,0293	   61,8895	
12.09.23	19:00:00	   8,13919	   61,7491	
12.09.23	19:05:00	   6,91819	   67,0498	
12.09.23	19:10:00	   7,19902	   67,7595	
12.09.23	19:15:00	   6,35897	   71,1996	
12.09.23	19:20:00	   6,54945	   69,8794	
12.09.23	19:25:00	   9,00855	   58,5394	
12.09.23	19:30:00	   9,69963	     58,08	
12.09.23	19:35:00	   9,58974	   57,3794	
12.09.23	19:40:00	   9,02808	   57,8587	
12.09.23	19:45:00	   8,76923	   57,8098	
12.09.23	19:50:00	    9,0989	   58,5989	
12.09.23	19:55:00	   9,30891	   57,2787	
12.09.23	20:00:00	   8,73993	   60,8898	
12.09.23	20:05:00	   8,24908	   62,6297	
12.09.23	20:10:00	   8,41758	   62,4695	
12.09.23	20:15:00	   8,72772	   61,1187	
12.09.23	20:20:00	   8,83761	   60,5296	
12.09.23	20:25:00	   8,22955	   62,0498	
12.09.23	20:30:00	   8,40781	   61,9597	
12.09.23	20:35:00	         8	   62,1093	
12.09.23	20:40:00	   7,89988	   63,2799	
12.09.23	20:45:00	    7,4188	   64,0491	
12.09.23	20:50:00	   8,91819	   58,3898	
12.09.23	20:55:00	   8,50794	   58,0296	
12.09.23	21:00:00	    8,5177	   60,2686	
12.09.23	21:05:00	   8,86935	     58,75	
12.09.23	21:10:00	   8,62759	   58,6386	
12.09.23	21:15:00	   8,13919	   58,6996	
12.09.23	21:20:00	   8,83761	   57,1688	
12.09.23	21:25:00	   8,82784	   56,0897	
12.09.23	21:30:00	   9,21856	   54,8199	
12.09.23	21:35:00	    8,1685	   58,3196	
12.09.23	21:40:00	    8,5177	   58,1288	
12.09.23	21:45:00	   8,82784	   57,9792	
12.09.23	21:50:00	   7,69963	   63,5897	
12.09.23	21:55:00	   7,44811	   64,4292	
12.09.23	22:00:00	   7,91941	   63,6187	
12.09.23	22:05:00	   7,22833	   70,0397	
12.09.23	22:10:00	   7,19902	   67,3291	
12.09.23	22:15:00	   7,22833	   70,2198	
12.09.23	22:20:00	   7,29915	   70,1099	
12.09.23	22:25:00	   7,76801	   62,3397	
12.09.23	22:30:00	   7,13797	   65,0885	
12.09.23	22:35:00	   7,64835	   62,7488	
12.09.23	22:40:00	    7,0989	   64,5986	
12.09.23	22:45:00	   7,68987	   62,8587	
12.09.23	22:50:00	   8,37851	   61,7888	
12.09.23	22:55:00	    7,8486	   62,5687	
12.09.23	23:00:00	    8,0293	   64,0293	
12.09.23	23:05:00	   7,63858	   64,3193	
12.09.23	23:10:00	   7,17949	   65,8898	
12.09.23	23:15:00	   7,85836	   64,0797	
12.09.23	23:20:00	   6,15873	   69,1087	
12.09.23	23:25:00	   7,22833	   64,9893	
12.09.23	23:30:00	   7,26984	   64,2995	
12.09.23	23:35:00	   7,40904	   64,5696	
12.09.23	23:40:00	   7,49939	   65,4792	
12.09.23	23:45:00	   7,53846	   64,8687	
12.09.23	23:50:00	   6,70818	   64,9893	
12.09.23	23:55:00	   7,50916	    62,239	
13.09.23	00:00:00	   7,82906	   61,0394	
13.09.23	00:05:00	   7,64835	   60,5586	
13.09.23	00:10:00	   8,10989	   59,7695	
13.09.23	00:15:00	   7,46764	   61,9795	
13.09.23	00:20:00	   6,85958	   64,1987	
13.09.23	00:25:00	   6,56899	   66,0089	
13.09.23	00:30:00	   8,27839	   58,9087	
13.09.23	00:35:00	   6,50794	   64,0186	
13.09.23	00:40:00	   6,32967	   66,8086	
13.09.23	00:45:00	   6,36874	   70,1694	
13.09.23	00:50:00	   6,57875	   71,2897	
13.09.23	00:55:00	   6,71795	   69,7985	
13.09.23	01:00:00	    6,8083	   68,4188	
13.09.23	01:05:00	   7,02808	   69,5986	
13.09.23	01:10:00	   6,58852	   69,4093	
13.09.23	01:15:00	   5,91941	   72,0589	
13.09.23	01:20:00	   6,60806	   74,2292	
13.09.23	01:25:00	   5,94872	   74,5894	
13.09.23	01:30:00	   5,88767	   72,7091	
13.09.23	01:35:00	   6,35897	    71,659	
13.09.23	01:40:00	   6,46886	   70,3388	
13.09.23	01:45:00	   6,18803	   69,3391	
13.09.23	01:50:00	    5,8486	   71,5095	
13.09.23	01:55:00	   5,52869	   71,2592	
13.09.23	02:00:00	    6,0293	     70,29	
13.09.23	02:05:00	   5,56777	    70,609	
13.09.23	02:10:00	   6,04884	   71,1798	
13.09.23	02:15:00	   6,05861	   67,1596	
13.09.23	02:20:00	   6,98901	   62,9487	
13.09.23	02:25:00	   6,50794	   65,2289	
13.09.23	02:30:00	   6,04884	   66,9994	
13.09.23	02:35:00	   6,97924	   62,4786	
13.09.23	02:40:00	   6,67888	    64,159	
13.09.23	02:45:00	   6,73993	   63,9499	
13.09.23	02:50:00	    6,1685	   65,7799	
13.09.23	02:55:00	   5,61905	   68,5089	
13.09.23	03:00:00	     5,558	   67,0589	
13.09.23	03:05:00	   5,67766	   67,3687	
13.09.23	03:10:00	    5,8779	    66,659	
13.09.23	03:15:00	   5,53846	   69,0186	
13.09.23	03:20:00	   5,25763	    72,819	
13.09.23	03:25:00	   5,68987	    78,489	
13.09.23	03:30:00	     5,558	   75,2595	
13.09.23	03:35:00	   5,25763	   77,8297	
13.09.23	03:40:00	   4,94994	   73,3593	
13.09.23	03:45:00	   5,11844	   70,6197	
13.09.23	03:50:00	   5,49939	   69,0598	
13.09.23	03:55:00	   6,22955	    66,569	
13.09.23	04:00:00	   6,18803	   67,3993	
13.09.23	04:05:00	    5,8779	   67,4191	
13.09.23	04:10:00	   6,08791	   75,1496	
13.09.23	04:15:00	   6,36874	   77,6496	
13.09.23	04:20:00	   5,29915	   70,4289	
13.09.23	04:25:00	   5,66789	   70,1099	
13.09.23	04:30:00	   5,17949	    70,989	
13.09.23	04:35:00	   5,07937	    71,859	
13.09.23	04:40:00	   4,94994	   75,6288	
13.09.23	04:45:00	    5,0696	   80,1496	
13.09.23	04:50:00	   4,93773	   78,0891	
13.09.23	04:55:00	   5,68987	   81,0287	
13.09.23	05:00:00	   5,78999	   82,2894	
13.09.23	05:05:00	   4,91819	   83,1685	
13.09.23	05:10:00	   4,86935	   87,8785	
13.09.23	05:15:00	   5,03785	   90,0198	
13.09.23	05:20:00	   4,62759	    89,159	
13.09.23	05:25:00	   4,65934	   90,1297	
13.09.23	05:30:00	   4,55922	     89,04	
13.09.23	05:35:00	   4,04884	   87,6893	
13.09.23	05:40:00	   4,42979	   86,9399	
13.09.23	05:45:00	   4,86935	   84,6596	
13.09.23	05:50:00	   4,46886	   82,2985	
13.09.23	05:55:00	   4,84982	   82,9396	
13.09.23	06:00:00	   5,11844	   84,9496	
13.09.23	06:05:00	   5,00855	   83,7393	
13.09.23	06:10:00	   5,13797	   83,1395	
13.09.23	06:15:00	   5,13797	   83,9286	
13.09.23	06:20:00	   5,52869	   83,5989	
13.09.23	06:25:00	   4,91819	   82,7091	
13.09.23	06:30:00	   5,18926	     83,75	
13.09.23	06:35:00	   5,00855	   81,7094	
13.09.23	06:40:00	   4,97924	   81,1187	
13.09.23	06:45:00	   4,91819	   85,3999	
13.09.23	06:50:00	   4,34921	   89,4292	
13.09.23	06:55:00	   4,90842	   89,8886	
13.09.23	07:00:00	   5,15995	   88,2387	
13.09.23	07:05:00	   4,49817	   90,1496	
13.09.23	07:10:00	   4,15873	   90,3388	
13.09.23	07:15:00	   4,27839	     89,91	
13.09.23	07:20:00	   4,15873	   89,5498	
13.09.23	07:25:00	   4,97924	    90,119	
13.09.23	07:30:00	   4,87912	   87,9991	
13.09.23	07:35:00	   5,18926	   86,0394	
13.09.23	07:40:00	   4,39805	   84,3086	
13.09.23	07:45:00	   4,93773	   84,7894	
13.09.23	07:50:00	   4,69841	   83,6386	
13.09.23	07:55:00	   4,59829	     85,29	
13.09.23	08:00:00	   4,46886	   84,8886	
13.09.23	08:05:00	   4,65934	   84,0186	
13.09.23	08:10:00	   4,89866	   85,2396	
13.09.23	08:15:00	   4,94994	   83,5897	
13.09.23	08:20:00	   4,67888	   84,6291	
13.09.23	08:25:00	   5,08913	   86,0394	
13.09.23	08:30:00	   5,01831	   86,7292	
13.09.23	08:35:00	   4,84982	     86,54	
13.09.23	08:40:00	   4,65934	   86,7491	
13.09.23	08:45:00	   4,69841	   88,6294	
13.09.23	08:50:00	   4,62759	   87,9487	
13.09.23	08:55:00	    4,8083	   89,5085	
13.09.23	09:00:00	   4,79853	   86,6789	
13.09.23	09:05:00	   5,15995	   86,2592	
13.09.23	09:10:00	   4,65934	     84,04	
13.09.23	09:15:00	   4,90842	   83,6096	
13.09.23	09:20:00	   4,42979	   86,3797	
13.09.23	09:25:00	   4,52991	   82,8098	
13.09.23	09:30:00	    4,6398	     83,75	
13.09.23	09:35:00	   4,91819	   78,6096	
13.09.23	09:40:00	   5,67766	   75,5495	
13.09.23	09:45:00	   6,43956	   74,6398	
13.09.23	09:50:00	   7,01832	   67,8694	
13.09.23	09:55:00	   7,12821	   62,8388	
