Time [sec]	Time (UTC)	P [hPa]	T [°C]	Hu [%]	Ws [m/s]	Wd [°]	Ws U [m/s]	Ws V [m/s]	Geopot [m]	Dew [°C]
1         	11:13:48  	948.0  	12.20 	38    	0.3     	149   	-0.2      	0.3       	424       	-1.6
2         	11:13:50  	948.0  	12.10 	38    	0.3     	149   	-0.2      	0.3       	424       	-1.7
3         	11:13:51  	947.9  	12.00 	38    	0.3     	149   	-0.2      	0.3       	424       	-1.7
4         	11:13:52  	947.9  	11.90 	39    	0.3     	149   	-0.2      	0.3       	424       	-1.7
5         	11:13:53  	947.9  	11.90 	39    	0.3     	149   	-0.2      	0.3       	424       	-1.5
6         	11:13:54  	947.9  	12.00 	40    	0.3     	143   	-0.2      	0.2       	424       	-1.3
7         	11:13:55  	947.9  	12.00 	40    	0.1     	045   	-0.1      	-0.1      	424       	-1.1
8         	11:13:56  	947.9  	12.20 	40    	0.1     	045   	-0.1      	-0.1      	424       	-0.8
9         	11:13:57  	947.9  	12.40 	41    	0.1     	045   	-0.1      	-0.1      	424       	-0.6
10        	11:13:58  	947.8  	12.50 	41    	0.1     	045   	-0.1      	-0.1      	424       	-0.4
11        	11:13:59  	947.8  	12.40 	41    	0.1     	045   	-0.1      	-0.1      	425       	-0.5
12        	11:14:00  	947.8  	12.30 	41    	0.1     	045   	-0.1      	-0.1      	425       	-0.5
13        	11:14:01  	947.8  	12.30 	41    	0.1     	045   	-0.1      	-0.1      	425       	-0.5
14        	11:14:02  	947.7  	12.40 	41    	0.1     	045   	-0.1      	-0.1      	425       	-0.3
15        	11:14:03  	947.7  	12.60 	41    	0.1     	045   	-0.1      	-0.1      	426       	-0.1
16        	11:14:04  	947.7  	13.00 	41    	0.1     	045   	-0.1      	-0.1      	426       	0.2
17        	11:14:05  	947.6  	13.10 	41    	0.1     	045   	-0.1      	-0.1      	426       	0.4
18        	11:14:06  	947.6  	13.10 	41    	0.1     	045   	-0.1      	-0.1      	427       	0.3
19        	11:14:07  	947.5  	12.70 	41    	0.1     	045   	-0.1      	-0.1      	427       	0.0
20        	11:14:08  	947.5  	12.40 	41    	0.1     	027   	0.0       	-0.1      	428       	-0.3
21        	11:14:09  	947.4  	12.30 	41    	0.2     	018   	-0.1      	-0.2      	428       	-0.5
22        	11:14:10  	947.4  	12.20 	41    	0.2     	018   	-0.1      	-0.2      	429       	-0.5
23        	11:14:11  	947.3  	12.40 	41    	0.2     	018   	-0.1      	-0.2      	429       	-0.4
24        	11:14:12  	947.3  	12.60 	41    	0.2     	018   	-0.1      	-0.2      	430       	-0.2
25        	11:14:13  	947.2  	12.90 	41    	0.2     	018   	-0.1      	-0.2      	430       	0.1
26        	11:14:14  	947.2  	13.00 	41    	0.2     	018   	-0.1      	-0.2      	430       	0.2
27        	11:14:15  	947.2  	13.10 	41    	0.2     	018   	-0.1      	-0.2      	431       	0.2
28        	11:14:16  	947.1  	13.00 	41    	0.2     	018   	-0.1      	-0.2      	431       	0.1
29        	11:14:17  	947.1  	12.80 	41    	0.2     	360   	0.0       	-0.2      	431       	0.0
30        	11:14:18  	947.1  	12.80 	41    	0.2     	360   	0.0       	-0.2      	432       	-0.1
31        	11:14:19  	947.0  	12.80 	41    	0.1     	360   	0.0       	-0.1      	432       	-0.2
32        	11:14:20  	947.0  	12.80 	41    	0.1     	027   	0.0       	-0.1      	432       	-0.1
33        	11:14:21  	947.0  	12.70 	41    	0.1     	027   	0.0       	-0.1      	432       	-0.2
34        	11:14:22  	947.0  	12.50 	41    	0.1     	045   	-0.1      	-0.1      	432       	-0.4
35        	11:14:23  	947.0  	12.30 	41    	0.1     	045   	-0.1      	-0.1      	432       	-0.6
36        	11:14:24  	947.0  	12.20 	41    	0.1     	045   	-0.1      	-0.1      	432       	-0.7
37        	11:14:25  	947.0  	12.30 	41    	0.1     	045   	-0.1      	-0.1      	432       	-0.6
38        	11:14:26  	947.0  	12.30 	41    	0.1     	045   	-0.1      	-0.1      	432       	-0.6
39        	11:14:27  	946.9  	12.40 	41    	0.1     	045   	-0.1      	-0.1      	433       	-0.5
40        	11:14:28  	946.9  	12.60 	41    	0.1     	045   	-0.1      	-0.1      	433       	-0.3
41        	11:14:29  	946.9  	12.80 	41    	0.1     	045   	-0.1      	-0.1      	433       	-0.2
42        	11:14:30  	946.9  	12.90 	41    	0.1     	045   	-0.1      	-0.1      	433       	0.0
43        	11:14:31  	946.9  	13.10 	41    	0.1     	045   	-0.1      	-0.1      	433       	0.2
44        	11:14:32  	946.9  	13.40 	41    	0.1     	045   	-0.1      	-0.1      	433       	0.5
45        	11:14:33  	946.9  	13.60 	41    	0.1     	045   	-0.1      	-0.1      	433       	0.7
46        	11:14:34  	946.9  	13.70 	41    	0.1     	360   	0.0       	-0.1      	433       	0.8
47        	11:14:35  	946.8  	13.80 	41    	0.0     	360   	0.0       	0.0       	433       	0.8
48        	11:14:36  	946.8  	13.80 	41    	0.0     	360   	0.0       	0.0       	433       	0.8
49        	11:14:37  	946.8  	13.80 	41    	0.0     	360   	0.0       	0.0       	434       	0.8
50        	11:14:38  	946.8  	13.80 	41    	0.1     	180   	0.0       	0.1       	434       	0.9
51        	11:14:39  	946.8  	13.90 	41    	0.1     	180   	0.0       	0.1       	434       	0.9
52        	11:14:40  	946.8  	13.80 	41    	0.1     	180   	0.0       	0.1       	434       	0.9
53        	11:14:41  	946.8  	13.80 	41    	0.1     	225   	0.1       	0.1       	434       	0.8
54        	11:14:42  	946.8  	13.70 	41    	0.1     	207   	0.0       	0.1       	434       	0.8
55        	11:14:43  	946.8  	13.70 	41    	0.1     	207   	0.0       	0.1       	434       	0.8
56        	11:14:44  	946.8  	13.70 	41    	0.1     	207   	0.0       	0.1       	434       	0.8
57        	11:14:45  	946.7  	13.70 	41    	0.1     	207   	0.0       	0.1       	434       	0.7
58        	11:14:46  	946.7  	13.60 	41    	0.2     	198   	0.1       	0.2       	434       	0.7
59        	11:14:47  	946.7  	13.50 	41    	0.2     	198   	0.1       	0.2       	435       	0.6
60        	11:14:48  	946.7  	13.30 	41    	0.2     	214   	0.1       	0.2       	435       	0.4
61        	11:14:49  	946.7  	13.30 	41    	0.2     	207   	0.1       	0.2       	435       	0.4
62        	11:14:50  	946.7  	13.30 	41    	0.2     	207   	0.1       	0.2       	435       	0.5
63        	11:14:51  	946.6  	13.00 	42    	0.2     	207   	0.1       	0.2       	435       	0.3
