Time [mm:ss]	UTC Time [hh:mm:ss]	Range [m]	Vertical Speed [m/s]	Horizontal Speed [m/s]	Longitude [°]	Latitude [°]	Altitude [m]
00:01.6     	05:19:39.6         	---      	---                 	---                   	---          	---         	---
00:05.6     	05:19:43.6         	12.8     	-0.1                	0.1                   	7.19921      	61.6805     	421.9
00:06.5     	05:19:44.5         	10.7     	-0.1                	0.1                   	7.19920      	61.6806     	418.7
00:07.6     	05:19:45.6         	9.5      	0.0                 	0.1                   	7.19920      	61.6806     	417.0
00:08.5     	05:19:46.5         	7.2      	0.0                 	0.1                   	7.19921      	61.6806     	414.9
00:09.7     	05:19:47.7         	4.8      	0.0                 	0.1                   	7.19923      	61.6806     	413.0
00:10.6     	05:19:48.6         	2.6      	0.0                 	0.1                   	7.19924      	61.6805     	411.6
00:11.7     	05:19:49.7         	0.7      	0.0                 	0.1                   	7.19925      	61.6805     	410.3
00:14.6     	05:19:52.6         	5.9      	0.0                 	0.1                   	7.19928      	61.6805     	407.1
00:16.6     	05:19:54.6         	9.0      	0.0                 	0.1                   	7.19930      	61.6805     	405.2
00:17.4     	05:19:55.4         	8.9      	-0.1                	0.2                   	7.19929      	61.6805     	404.9
00:18.6     	05:19:56.6         	8.7      	-0.1                	0.6                   	7.19929      	61.6805     	404.6
00:19.5     	05:19:57.5         	---      	---                 	---                   	---          	---         	---
00:20.7     	05:19:58.7         	9.1      	0.0                 	0.1                   	7.19929      	61.6805     	405.1
00:21.5     	05:19:59.5         	9.3      	0.0                 	0.3                   	7.19928      	61.6804     	405.3
00:22.7     	05:20:00.7         	8.8      	0.1                 	0.2                   	7.19927      	61.6805     	406.0
00:23.5     	05:20:01.5         	9.2      	0.0                 	0.6                   	7.19927      	61.6804     	406.4
00:24.7     	05:20:02.7         	8.1      	0.0                 	0.4                   	7.19924      	61.6805     	406.1
00:25.5     	05:20:03.5         	9.2      	0.0                 	0.2                   	7.19923      	61.6804     	407.0
00:26.7     	05:20:04.7         	9.7      	0.0                 	0.2                   	7.19923      	61.6804     	408.2
00:27.5     	05:20:05.5         	10.2     	0.1                 	0.1                   	7.19922      	61.6804     	409.2
00:28.4     	05:20:06.4         	---      	---                 	---                   	---          	---         	---
00:29.5     	05:20:07.5         	10.8     	0.0                 	0.0                   	7.19922      	61.6804     	409.9
00:30.5     	05:20:08.5         	10.8     	0.0                 	0.0                   	7.19922      	61.6804     	409.9
00:31.6     	05:20:09.6         	10.8     	0.0                 	0.0                   	7.19922      	61.6804     	409.9
00:32.5     	05:20:10.5         	10.8     	0.0                 	0.0                   	7.19922      	61.6804     	409.9
00:33.6     	05:20:11.6         	10.9     	0.0                 	0.0                   	7.19922      	61.6804     	409.9
00:34.5     	05:20:12.5         	10.9     	0.0                 	0.0                   	7.19922      	61.6804     	409.9
00:35.6     	05:20:13.6         	10.9     	0.0                 	0.0                   	7.19922      	61.6804     	410.0
00:36.5     	05:20:14.5         	10.9     	0.0                 	0.0                   	7.19922      	61.6804     	410.0
00:37.6     	05:20:15.6         	10.9     	0.0                 	0.0                   	7.19922      	61.6804     	410.0
00:38.5     	05:20:16.5         	10.9     	0.0                 	0.0                   	7.19922      	61.6804     	410.0
00:39.6     	05:20:17.6         	10.9     	0.0                 	0.0                   	7.19922      	61.6804     	410.0
00:40.6     	05:20:18.6         	10.9     	0.0                 	0.0                   	7.19922      	61.6804     	410.1
00:41.7     	05:20:19.7         	10.9     	0.0                 	0.0                   	7.19922      	61.6804     	410.1
00:42.6     	05:20:20.6         	10.9     	0.0                 	0.0                   	7.19922      	61.6804     	410.1
00:43.5     	05:20:21.5         	10.9     	0.0                 	0.0                   	7.19922      	61.6804     	410.1
00:44.6     	05:20:22.6         	10.9     	0.0                 	0.0                   	7.19922      	61.6804     	410.1
00:45.5     	05:20:23.5         	10.9     	0.0                 	0.0                   	7.19922      	61.6804     	410.1
00:46.6     	05:20:24.6         	10.9     	0.0                 	0.0                   	7.19922      	61.6804     	410.2
00:47.5     	05:20:25.5         	10.9     	0.0                 	0.0                   	7.19922      	61.6804     	410.2
00:48.6     	05:20:26.6         	10.9     	0.0                 	0.0                   	7.19922      	61.6804     	410.2
00:49.5     	05:20:27.5         	10.9     	0.0                 	0.0                   	7.19922      	61.6804     	410.2
00:50.7     	05:20:28.7         	10.8     	0.0                 	0.0                   	7.19922      	61.6804     	410.2
00:51.6     	05:20:29.6         	409.9    	0.0                 	0.0                   	7.19922      	61.6804     	0.0
00:52.7     	05:20:30.7         	9.5      	0.0                 	0.1                   	7.19921      	61.6804     	410.8
00:53.6     	05:20:31.6         	---      	---                 	---                   	---          	---         	---
00:54.7     	05:20:32.7         	8.9      	0.0                 	0.2                   	7.19922      	61.6804     	409.6
