station_id,station_lat,station_lon,grid_lat,grid_lon,grid_i,grid_j
MG,61.659,7.276,61.66012,7.277649,78.0,48.0
NB,61.687,7.197,61.68744,7.1959534,65.0,57.0
SM,61.677,7.132,61.67565,7.132538,55.0,53.0
FL,61.423,6.764,,,,
OD,61.694,6.808,,,,
VS,61.478,7.034,,,,
FN,61.907,7.058,,,,
OV,61.792,6.822,,,,
LV,61.859,6.889,,,,
SV,61.774,7.486,,,,
FL_old,61.4352,6.7707,,,,
BH,61.66016865,7.2742631,61.66014,7.271332,77.0,48.0
FF,61.67746285467888,7.208467660507808,61.678391,7.208435,67.0,54.0
NV,61.6672661,7.2415509,61.666275,7.2398376,72.0,50.0
