Time [mm:ss]	UTC Time [hh:mm:ss]	Range [m]	Vertical Speed [m/s]	Horizontal Speed [m/s]	Longitude [°]	Latitude [°]	Altitude [m]
00:01.3     	11:13:42.3         	---      	---                 	---                   	---          	---         	---
00:03.3     	11:13:44.3         	2.6      	0.0                 	0.2                   	7.19927      	61.6805     	424.7
00:04.4     	11:13:45.4         	2.4      	0.0                 	0.1                   	7.19927      	61.6805     	424.6
00:06.4     	11:13:47.4         	3.5      	0.0                 	0.2                   	7.19927      	61.6805     	425.4
00:07.3     	11:13:48.3         	3.0      	0.0                 	0.2                   	7.19927      	61.6805     	424.8
00:08.4     	11:13:49.4         	2.2      	0.0                 	0.1                   	7.19927      	61.6805     	424.2
00:09.3     	11:13:50.3         	1.2      	0.0                 	0.1                   	7.19926      	61.6805     	423.5
00:11.4     	11:13:52.4         	0.7      	0.0                 	0.4                   	7.19926      	61.6805     	423.2
00:12.3     	11:13:53.3         	0.7      	0.0                 	0.3                   	7.19925      	61.6805     	423.1
00:13.4     	11:13:54.4         	0.7      	0.0                 	0.1                   	7.19925      	61.6805     	423.1
00:15.4     	11:13:56.4         	0.7      	0.0                 	0.1                   	7.19925      	61.6805     	423.2
00:16.3     	11:13:57.3         	0.9      	0.0                 	0.3                   	7.19924      	61.6805     	423.3
00:17.4     	11:13:58.4         	1.3      	0.0                 	0.2                   	7.19924      	61.6805     	423.5
00:19.4     	11:14:00.4         	2.4      	0.0                 	0.4                   	7.19922      	61.6805     	423.6
00:20.3     	11:14:01.3         	2.1      	0.0                 	0.3                   	7.19922      	61.6805     	424.1
00:21.5     	11:14:02.5         	2.6      	0.1                 	0.0                   	7.19922      	61.6805     	424.5
00:22.4     	11:14:03.4         	3.2      	0.1                 	0.1                   	7.19923      	61.6805     	425.1
00:23.5     	11:14:04.5         	4.0      	0.1                 	0.3                   	7.19922      	61.6805     	425.6
00:24.4     	11:14:05.4         	4.1      	0.1                 	0.2                   	7.19923      	61.6805     	425.7
00:25.3     	11:14:06.3         	4.2      	0.1                 	0.2                   	7.19923      	61.6805     	426.2
00:26.4     	11:14:07.4         	4.3      	0.1                 	0.1                   	7.19923      	61.6805     	426.5
00:27.3     	11:14:08.3         	---      	---                 	---                   	---          	---         	---
00:28.4     	11:14:09.4         	5.4      	0.1                 	0.2                   	7.19923      	61.6805     	427.7
00:29.3     	11:14:10.3         	5.9      	0.1                 	0.2                   	7.19924      	61.6805     	428.2
00:30.4     	11:14:11.4         	6.6      	0.2                 	0.1                   	7.19924      	61.6805     	428.9
00:31.4     	11:14:12.4         	6.9      	0.2                 	0.1                   	7.19924      	61.6805     	429.2
